,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-2.215,0.167,-2.546,-1.983,0.022,0.016,78.0,266.0,1.14
beta[1],0.081,1.191,-2.32,2.263,0.019,0.032,3066.0,1708.0,1.06
beta[2],0.707,0.052,0.6,0.778,0.01,0.007,30.0,229.0,1.1
beta[3],1.0,0.02,0.965,1.037,0.002,0.001,108.0,339.0,1.07
beta[4],1.004,0.028,0.958,1.063,0.003,0.002,109.0,186.0,1.11
beta[5],-1.006,0.032,-1.07,-0.95,0.002,0.002,189.0,434.0,1.02
beta[6],-0.309,0.049,-0.403,-0.225,0.002,0.001,900.0,1672.0,1.0
beta[7],0.464,0.023,0.42,0.507,0.001,0.001,497.0,773.0,1.01
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],0.254,0.436,0.0,1.0,0.067,0.048,42.0,42.0,1.11
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.876,0.329,0.0,1.0,0.004,0.003,7556.0,7556.0,1.0
gamma_prev[1],0.273,0.446,0.0,1.0,0.058,0.041,59.0,59.0,1.08
gamma_prev[2],0.879,0.326,0.0,1.0,0.003,0.002,9534.0,9534.0,1.0
gamma_prev[3],0.872,0.335,0.0,1.0,0.003,0.002,9980.0,9980.0,1.0
gamma_prev[4],0.887,0.317,0.0,1.0,0.003,0.002,9306.0,9306.0,1.0
gamma_prev[5],0.878,0.327,0.0,1.0,0.003,0.002,9749.0,9749.0,1.0
gamma_prev[6],0.876,0.33,0.0,1.0,0.003,0.002,9495.0,9495.0,1.0
gamma_prev[7],0.874,0.331,0.0,1.0,0.004,0.003,8657.0,8657.0,1.0
sigma2,0.028,0.002,0.025,0.031,0.0,0.0,360.0,295.0,1.1
beta_ori,0.021,0.496,-1.045,0.837,0.102,0.073,24.0,79.0,1.11
eta,2.069,1.249,0.482,4.077,0.166,0.118,44.0,86.0,1.07
pi,0.672,0.26,0.175,1.0,0.024,0.017,214.0,108.0,1.07
p[0],0.03,0.017,0.004,0.057,0.002,0.002,51.0,65.0,1.07
p[1],0.034,0.018,0.0,0.056,0.001,0.001,115.0,87.0,1.06
p[2],0.031,0.016,0.001,0.055,0.001,0.001,98.0,179.0,1.08
p[3],0.031,0.018,0.0,0.054,0.002,0.001,80.0,48.0,1.04
p[4],0.031,0.018,0.001,0.059,0.003,0.002,38.0,92.0,1.08
p[5],0.033,0.017,0.003,0.06,0.002,0.001,89.0,68.0,1.07
p[6],0.032,0.015,0.005,0.057,0.001,0.001,108.0,546.0,1.04
p[7],0.037,0.02,0.002,0.069,0.002,0.002,59.0,34.0,1.07
p[8],0.035,0.018,0.0,0.062,0.001,0.001,76.0,48.0,1.09
p[9],0.033,0.018,0.005,0.072,0.003,0.002,52.0,55.0,1.09
p[10],0.037,0.025,0.001,0.102,0.003,0.003,112.0,42.0,1.06
p[11],0.034,0.019,0.001,0.06,0.002,0.001,89.0,35.0,1.05
p[12],0.033,0.017,0.0,0.059,0.002,0.002,39.0,150.0,1.07
p[13],0.039,0.027,0.0,0.071,0.004,0.003,89.0,36.0,1.11
p[14],0.035,0.024,0.0,0.075,0.005,0.003,22.0,36.0,1.13
p[15],0.032,0.015,0.0,0.055,0.001,0.001,264.0,262.0,1.04
p[16],0.035,0.018,0.002,0.063,0.002,0.002,50.0,40.0,1.1
p[17],0.031,0.017,0.005,0.063,0.002,0.002,59.0,48.0,1.09
p[18],0.031,0.017,0.003,0.056,0.001,0.001,114.0,209.0,1.04
p[19],0.032,0.018,0.003,0.059,0.003,0.002,29.0,156.0,1.1
p[20],0.032,0.017,0.005,0.06,0.001,0.001,107.0,78.0,1.06
p[21],0.036,0.024,0.0,0.07,0.003,0.002,100.0,65.0,1.04
p[22],0.033,0.017,0.0,0.058,0.002,0.001,93.0,128.0,1.04
p[23],0.036,0.027,0.0,0.067,0.004,0.003,110.0,37.0,1.11
p[24],0.036,0.022,0.002,0.079,0.005,0.003,30.0,27.0,1.1
p[25],0.033,0.019,0.001,0.057,0.002,0.001,78.0,55.0,1.06
p[26],0.031,0.016,0.0,0.055,0.002,0.001,77.0,31.0,1.12
p[27],0.031,0.019,0.0,0.06,0.002,0.002,54.0,39.0,1.06
p[28],0.035,0.02,0.0,0.074,0.003,0.002,47.0,50.0,1.08
p[29],0.03,0.016,0.0,0.053,0.001,0.001,102.0,36.0,1.05
