TOK,SHOT,TIME,PHASE,PGASA,RGEO,AMIN,KAPPA,SPLASMA,CONFIG,IGRADB,WALMAT,DIVMAT,LIMMAT,EVAP,BT,IP,Q95,NEL,ZEFF,DIVNAME,PL,PLTH,PFLOSS,PRADCORE,DIVCON,FRACNMIN,LHTIME,AUXHEAT,SELEC2024
CMOD,1050428004,0.63461, LH,2.0000,0.672389,0.216421,1.69737,7.42158, SN,1, MO, MO, MO,,5.33923,931812,4.26029,1.97E+20,1.0882, DIVNOSE,2289520,2289520,0,0, VERTPLT,-1.00E-08,0.63561,IC,1
CMOD,1050428007,0.66603, LH,2.0000,0.670773,0.21766,1.67073,7.36968, SN,1, MO, MO, MO,,5.35375,655357,5.8966,1.33E+20,1.2562, DIVNOSE,1165300,1165300,0,0, VERTPLT,-1.00E-08,0.66703,IC,0
CMOD,1050621015,0.91039, LH,2.0000,0.672785,0.217388,1.67962,7.37796, SN,1, MO, MO, MO,,5.32586,634247,6.19549,1.89E+20,1.0084, DIVNOSE,1424930,1424930,0,0, VERTPLT,-1.00E-08,0.91139,IC,1
CMOD,1050621029,0.8542, LH,2.0000,0.670869,0.21708,1.69789,7.43647, SN,1, MO, MO, MO,,5.33346,1030660,3.86097,1.62E+20,1.0947, DIVNOSE,1372730,1372730,0,0, VERTPLT,-1.00E-08,0.8552,IC,1
CMOD,1050623008,0.8007, LH,2.0000,0.678764,0.21369,1.44202,6.70529, SN,1, MO, MO, MO,,5.2651,681653,4.40365,2.20E+20,1.0852, DIVNOSE,1791100,1791100,0,0, VERTPLT,-1.00E-08,0.8017,IC,1
CMOD,1050623010,0.77989, LH,2.0000,0.678854,0.212484,1.46058,6.70899, SN,1, MO, MO, MO,,5.26576,660100,4.56874,2.15E+20,1.0874, DIVNOSE,1811590,1811590,0,0, VERTPLT,-1.00E-08,0.78089,IC,1
CMOD,1070531007,0.67546, LH,2.0000,0.672935,0.221497,1.66874,7.52052, SN,1, MO, MO, MO,,5.34589,1229210,3.29551,1.35E+20,1.7567, DIVNOSE,1706440,1706440,0,0, VERTPLT,-1.00E-08,0.67646,IC,0
CMOD,1070531008,0.74949, LH,2.0000,0.671522,0.221714,1.66272,7.49848, SN,1, MO, MO, MO,,5.35783,1233820,3.25275,1.37E+20,2.4536, DIVNOSE,1727060,1727060,0,0, VERTPLT,-1.00E-08,0.75049,IC,0
CMOD,1070531009,0.72883, LH,2.0000,0.671826,0.221789,1.65927,7.48882, SN,1, MO, MO, MO,,5.35684,1226990,3.27273,1.58E+20,1.7398, DIVNOSE,1892190,1892190,0,0, VERTPLT,-1.00E-08,0.72983,IC,1
CMOD,1070531011,0.76992, LH,2.0000,0.671443,0.221719,1.66356,7.49385, SN,1, MO, MO, MO,,5.35668,1226030,3.29079,2.01E+20,1.7251, DIVNOSE,2089660,2089660,0,0, VERTPLT,-1.00E-08,0.77092,IC,1
CMOD,1070531012,0.92365, LH,2.0000,0.671612,0.221414,1.65454,7.44889, SN,1, MO, MO, MO,,5.35657,1022780,3.89868,1.68E+20,1.634, DIVNOSE,2030680,2030680,0,0, VERTPLT,-1.00E-08,0.92465,IC,1
CMOD,1070531014,0.96946, LH,2.0000,0.672094,0.221942,1.65451,7.47147, SN,1, MO, MO, MO,,5.35874,1028650,3.91753,1.86E+20,1.5642, DIVNOSE,2318830,2318830,0,0, VERTPLT,-1.00E-08,0.97046,IC,1
CMOD,1070531018,0.70784, LH,2.0000,0.672825,0.223853,1.60951,7.39478, SN,1, MO, MO, MO,,5.3487,637429,6.09529,1.60E+20,1.6067, DIVNOSE,1712050,1712050,0,0, VERTPLT,-1.00E-08,0.70884,IC,1
CMOD,1070531021,0.76827, LH,2.0000,0.671601,0.222079,1.65725,7.48389, SN,1, MO, MO, MO,,5.35562,1229520,3.28311,2.16E+20,1.1087, DIVNOSE,2781670,2781670,0,0, VERTPLT,-1.00E-08,0.76927,IC,1
CMOD,1070531027,0.9628, LH,2.0000,0.671761,0.222097,1.64596,7.44886, SN,1, MO, MO, MO,,5.35793,1026050,3.88035,1.83E+20,1.3942, DIVNOSE,2215620,2215620,0,0, VERTPLT,-1.00E-08,0.9638,IC,1
CMOD,1070605011,0.75775, LH,2.0000,0.672026,0.221362,1.63511,7.38519, SN,1, MO, MO, MO,,5.35904,827141,4.71474,2.22E+20,1.5043, DIVNOSE,2249730,2249730,0,0, VERTPLT,-1.00E-08,0.75875,IC,1
CMOD,1070605012,0.75452, LH,2.0000,0.672185,0.221477,1.63436,7.38804, SN,1, MO, MO, MO,,5.56958,826871,4.89039,2.08E+20,1.5716, DIVNOSE,2378710,2378710,0,0, VERTPLT,-1.00E-08,0.75552,IC,1
CMOD,1070612006,0.72904, LH,2.0000,0.670728,0.219718,1.66278,7.41482, SN,1, MO, MO, MO,,5.35564,1022140,3.85849,1.58E+20,1.8285, DIVNOSE,2618350,2618350,0,0, VERTPLT,-1.00E-08,0.73004,IC,1
CMOD,1070807004,0.83629, LH,2.0000,0.669138,0.219855,1.66154,7.39822, SN,1, MO, MO, MO,,5.32791,928247,4.25055,1.07E+20,1.9306, DIVNOSE,1792650,1792650,0,0, VERTPLT,-1.00E-08,0.83729,IC,0
CMOD,1070807005,0.60609, LH,2.0000,0.66956,0.218653,1.67267,7.38472, SN,1, MO, MO, MO,,5.31667,930871,4.20545,9.00E+19,2.2028, DIVNOSE,1605380,1605380,0,0, VERTPLT,-1.00E-08,0.60709,IC,0
CMOD,1070807008,1.24612, LH,2.0000,0.671475,0.219551,1.66723,7.41195, SN,1, MO, MO, MO,,5.31655,917023,4.29252,7.00E+19,3.2513, DIVNOSE,2740390,2740390,0,0, VERTPLT,-1.00E-08,1.24712,IC,0
CMOD,1070807016,0.77369, LH,2.0000,0.669363,0.219659,1.642,7.33949, SN,1, MO, MO, MO,,5.32651,639051,5.97328,1.03E+20,2.7463, DIVNOSE,1451250,1451250,0,0, VERTPLT,-1.00E-08,0.77469,IC,0
CMOD,1070807017,1.15264, LH,2.0000,0.672299,0.221904,1.63771,7.39123, SN,1, MO, MO, MO,,5.30721,627814,6.26689,8.58E+19,2.6232, DIVNOSE,2008320,2008320,0,0, VERTPLT,-1.00E-08,1.15364,IC,0
CMOD,1070807024,0.60588, LH,2.0000,0.668664,0.218293,1.69214,7.44136, SN,1, MO, MO, MO,,5.33044,1213280,3.29492,1.34E+20,2.1086, DIVNOSE,2142450,2142450,0,0, VERTPLT,-1.00E-08,0.60688,IC,0
CMOD,1070807025,0.54319, LH,2.0000,0.669867,0.219369,1.66266,7.38167, SN,1, MO, MO, MO,,5.31551,1176890,3.31747,1.16E+20,1.9211, DIVNOSE,1748760,1748760,0,0, VERTPLT,-1.00E-08,0.54419,IC,0
CMOD,1070807026,0.7801, LH,2.0000,0.6691,0.219658,1.67887,7.44298, SN,1, MO, MO, MO,,5.32718,1220690,3.27241,8.76E+19,3.0275, DIVNOSE,2868760,2868760,0,0, VERTPLT,-1.00E-08,0.7811,IC,0
CMOD,1070807030,0.6601, LH,2.0000,0.67036,0.221281,1.62271,7.33907, SN,1, MO, MO, MO,,5.32185,647968,5.81987,1.19E+20,1.8697, DIVNOSE,1271140,1271140,0,0, VERTPLT,-1.00E-08,0.6611,IC,0
CMOD,1070829008,0.73188, LH,2.0000,0.672313,0.225607,1.6927,7.67514, SN,1, MO, MO, MO,,5.28058,1367090,3.16448,2.26E+20,0.9683, DIVNOSE,4149870,4149870,0,0, VERTPLT,-1.00E-08,0.73288,IC,1
CMOD,1070829028,0.8132, LH,2.0000,0.670685,0.223578,1.80285,7.86192, SN,1, MO, MO, MO,,5.29585,1355350,3.34582,2.14E+20,1.2021, DIVNOSE,3742850,3742850,0,0, VERTPLT,-1.00E-08,0.8142,IC,1
CMOD,1070829029,0.8415, LH,2.0000,0.670394,0.223945,1.82936,7.93509, SN,1, MO, MO, MO,,5.29771,1353890,3.32163,2.31E+20,1.2312, DIVNOSE,3745500,3745500,0,0, VERTPLT,-1.00E-08,0.8425,IC,1
CMOD,1070830002,0.8939, LH,2.0000,0.671891,0.222505,1.63562,7.42591, SN,1, MO, MO, MO,,5.29287,831740,4.685,1.53E+20,1.2508, DIVNOSE,1476520,1476520,0,0, VERTPLT,-1.00E-08,0.8949,IC,1
CMOD,1070830003,0.58993, LH,2.0000,0.671296,0.22283,1.63831,7.44377, SN,1, MO, MO, MO,,5.28833,852388,4.58863,1.49E+20,1.2864, DIVNOSE,1575910,1575910,0,0, VERTPLT,-1.00E-08,0.59093,IC,1
CMOD,1070830004,0.77199, LH,2.0000,0.671898,0.222582,1.63188,7.41463, SN,1, MO, MO, MO,,5.32272,830353,4.70132,1.52E+20,1.2801, DIVNOSE,1367210,1367210,0,0, VERTPLT,-1.00E-08,0.77299,IC,1
