,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.031,0.806,-1.697,1.306,0.12,0.085,68.0,138.0,1.15
beta[1],-0.049,0.945,-1.97,1.66,0.073,0.052,201.0,402.0,1.06
beta[2],1.071,0.148,0.761,1.315,0.024,0.017,39.0,447.0,1.06
beta[3],1.071,0.309,0.943,1.292,0.049,0.035,22.0,31.0,1.12
beta[4],-0.083,1.142,-2.162,1.974,0.039,0.028,789.0,3728.0,1.01
beta[5],0.045,1.024,-2.027,1.932,0.018,0.086,2022.0,1838.0,1.34
beta[6],-0.454,0.084,-0.603,-0.307,0.006,0.004,181.0,342.0,1.02
beta[7],-1.471,0.098,-1.648,-1.277,0.006,0.004,312.0,623.0,1.02
gamma[0],0.595,0.491,0.0,1.0,0.148,0.107,11.0,11.0,1.33
gamma[1],0.354,0.478,0.0,1.0,0.092,0.066,27.0,27.0,1.1
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],0.969,0.172,1.0,1.0,0.027,0.019,41.0,12000.0,1.06
gamma[4],0.002,0.049,0.0,0.0,0.002,0.001,913.0,913.0,1.0
gamma[5],0.268,0.443,0.0,1.0,0.188,0.141,6.0,6.0,1.93
gamma[6],0.999,0.026,1.0,1.0,0.001,0.001,852.0,12000.0,1.0
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.571,0.495,0.0,1.0,0.112,0.08,20.0,20.0,1.17
gamma_prev[1],0.373,0.484,0.0,1.0,0.072,0.052,44.0,44.0,1.06
gamma_prev[2],0.894,0.308,0.0,1.0,0.003,0.002,9456.0,9456.0,1.0
gamma_prev[3],0.868,0.338,0.0,1.0,0.02,0.014,290.0,290.0,1.01
gamma_prev[4],0.082,0.275,0.0,1.0,0.003,0.002,7517.0,7517.0,1.0
gamma_prev[5],0.304,0.46,0.0,1.0,0.156,0.114,9.0,9.0,1.37
gamma_prev[6],0.893,0.309,0.0,1.0,0.003,0.002,9329.0,9329.0,1.0
gamma_prev[7],0.895,0.307,0.0,1.0,0.003,0.002,9744.0,9744.0,1.0
sigma2,0.09,0.009,0.076,0.108,0.002,0.001,22.0,5178.0,1.11
beta_ori,-0.057,0.455,-0.891,0.886,0.047,0.034,78.0,1132.0,1.08
eta,1.181,0.558,0.45,2.189,0.054,0.038,127.0,2113.0,1.12
pi,0.564,0.255,0.126,1.0,0.009,0.017,971.0,967.0,1.2
p[0],0.031,0.019,0.0,0.06,0.004,0.003,18.0,435.0,1.14
p[1],0.029,0.017,0.0,0.054,0.003,0.002,32.0,449.0,1.08
p[2],0.031,0.016,0.0,0.056,0.001,0.001,137.0,557.0,1.13
p[3],0.035,0.021,0.0,0.059,0.001,0.001,256.0,555.0,1.19
p[4],0.034,0.017,0.0,0.058,0.001,0.0,428.0,395.0,1.08
p[5],0.031,0.017,0.0,0.056,0.002,0.001,67.0,474.0,1.05
p[6],0.03,0.017,0.0,0.056,0.003,0.002,28.0,461.0,1.09
p[7],0.035,0.017,0.0,0.056,0.002,0.002,33.0,384.0,1.07
p[8],0.036,0.018,0.0,0.059,0.001,0.001,76.0,410.0,1.04
p[9],0.036,0.018,0.0,0.058,0.002,0.002,40.0,414.0,1.07
p[10],0.037,0.018,0.004,0.06,0.004,0.003,19.0,687.0,1.14
p[11],0.028,0.017,0.0,0.055,0.004,0.003,14.0,335.0,1.2
p[12],0.035,0.027,0.0,0.057,0.002,0.001,40.0,481.0,1.07
p[13],0.028,0.02,0.0,0.058,0.005,0.004,12.0,84.0,1.25
p[14],0.034,0.017,0.0,0.056,0.002,0.001,43.0,457.0,1.06
p[15],0.032,0.016,0.0,0.057,0.001,0.001,244.0,465.0,1.06
p[16],0.033,0.017,0.0,0.057,0.001,0.0,658.0,412.0,1.09
p[17],0.036,0.018,0.007,0.068,0.005,0.003,16.0,139.0,1.17
p[18],0.033,0.018,0.0,0.057,0.001,0.0,708.0,508.0,1.16
p[19],0.029,0.019,0.0,0.057,0.004,0.003,17.0,495.0,1.15
p[20],0.036,0.024,0.0,0.061,0.001,0.001,369.0,419.0,1.06
p[21],0.033,0.017,0.0,0.058,0.001,0.0,797.0,427.0,1.14
p[22],0.034,0.017,0.0,0.055,0.0,0.0,312.0,557.0,1.14
p[23],0.029,0.019,0.0,0.058,0.004,0.003,16.0,342.0,1.17
p[24],0.032,0.016,0.0,0.056,0.001,0.001,71.0,363.0,1.04
p[25],0.031,0.016,0.0,0.056,0.002,0.002,45.0,415.0,1.07
p[26],0.039,0.021,0.006,0.075,0.005,0.004,19.0,79.0,1.15
p[27],0.04,0.028,0.005,0.065,0.006,0.004,14.0,268.0,1.2
p[28],0.039,0.023,0.008,0.079,0.005,0.004,17.0,91.0,1.16
p[29],0.03,0.017,0.0,0.057,0.003,0.002,30.0,181.0,1.09
