,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-0.12,0.864,-1.668,1.683,0.033,0.026,619.0,1517.0,1.1
beta[1],-0.022,1.091,-2.263,1.826,0.02,0.014,3067.0,5177.0,1.0
beta[2],0.84,0.123,0.582,1.051,0.008,0.006,261.0,1154.0,1.04
beta[3],0.901,0.073,0.762,1.037,0.01,0.007,47.0,952.0,1.06
beta[4],0.197,0.052,0.113,0.304,0.009,0.006,31.0,858.0,1.08
beta[5],-0.626,0.08,-0.767,-0.474,0.005,0.003,288.0,729.0,1.02
beta[6],-1.488,0.082,-1.644,-1.341,0.005,0.003,309.0,1667.0,1.02
beta[7],0.818,0.138,0.516,1.055,0.01,0.007,239.0,2166.0,1.04
gamma[0],0.469,0.499,0.0,1.0,0.118,0.085,18.0,18.0,1.21
gamma[1],0.02,0.139,0.0,0.0,0.012,0.009,134.0,134.0,1.03
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.455,0.498,0.0,1.0,0.097,0.069,26.0,26.0,1.13
gamma_prev[1],0.089,0.285,0.0,1.0,0.011,0.008,698.0,698.0,1.0
gamma_prev[2],0.887,0.317,0.0,1.0,0.003,0.002,9083.0,9083.0,1.0
gamma_prev[3],0.887,0.317,0.0,1.0,0.003,0.002,10189.0,10189.0,1.0
gamma_prev[4],0.88,0.325,0.0,1.0,0.003,0.002,9418.0,9418.0,1.0
gamma_prev[5],0.886,0.318,0.0,1.0,0.003,0.002,9818.0,9818.0,1.0
gamma_prev[6],0.89,0.313,0.0,1.0,0.003,0.002,9763.0,9763.0,1.0
gamma_prev[7],0.886,0.318,0.0,1.0,0.003,0.002,9953.0,9953.0,1.0
sigma2,0.059,0.006,0.048,0.068,0.001,0.001,39.0,437.0,1.06
beta_ori,-0.018,0.449,-0.755,0.864,0.046,0.033,102.0,123.0,1.04
eta,1.17,0.515,0.43,2.012,0.026,0.018,180.0,542.0,1.02
pi,0.623,0.245,0.185,1.0,0.009,0.011,675.0,5399.0,1.04
p[0],0.024,0.015,0.0,0.046,0.001,0.001,78.0,38.0,1.07
p[1],0.023,0.018,0.0,0.047,0.002,0.001,37.0,127.0,1.08
p[2],0.025,0.019,0.0,0.05,0.002,0.001,41.0,163.0,1.07
p[3],0.025,0.016,0.0,0.044,0.001,0.0,282.0,68.0,1.1
p[4],0.033,0.027,0.003,0.085,0.008,0.006,16.0,47.0,1.18
p[5],0.028,0.03,0.0,0.053,0.004,0.003,217.0,47.0,1.07
p[6],0.023,0.014,0.0,0.043,0.002,0.001,37.0,35.0,1.07
p[7],0.026,0.02,0.0,0.046,0.002,0.001,263.0,67.0,1.04
p[8],0.027,0.017,0.002,0.055,0.004,0.003,26.0,74.0,1.14
p[9],0.025,0.015,0.0,0.044,0.001,0.0,159.0,47.0,1.05
p[10],0.024,0.015,0.0,0.045,0.001,0.0,440.0,84.0,1.04
p[11],0.025,0.018,0.0,0.05,0.001,0.001,68.0,67.0,1.05
p[12],0.022,0.015,0.0,0.044,0.002,0.001,39.0,130.0,1.07
p[13],0.027,0.019,0.0,0.053,0.002,0.001,271.0,77.0,1.09
p[14],0.022,0.016,0.0,0.043,0.003,0.002,24.0,202.0,1.11
p[15],0.023,0.016,0.0,0.045,0.002,0.001,50.0,157.0,1.07
p[16],0.027,0.015,0.0,0.046,0.002,0.002,41.0,106.0,1.09
p[17],0.028,0.02,0.0,0.05,0.002,0.001,46.0,79.0,1.06
p[18],0.023,0.018,0.0,0.048,0.001,0.001,45.0,58.0,1.06
p[19],0.023,0.014,0.0,0.045,0.001,0.001,65.0,60.0,1.05
p[20],0.026,0.02,0.0,0.047,0.002,0.001,195.0,80.0,1.08
p[21],0.029,0.02,0.003,0.068,0.005,0.004,27.0,57.0,1.15
p[22],0.026,0.029,0.0,0.049,0.004,0.003,42.0,35.0,1.06
p[23],0.026,0.02,0.0,0.048,0.002,0.001,165.0,70.0,1.14
p[24],0.021,0.016,0.0,0.043,0.003,0.002,18.0,61.0,1.15
p[25],0.023,0.017,0.0,0.048,0.003,0.002,24.0,94.0,1.11
p[26],0.026,0.016,0.0,0.055,0.002,0.001,115.0,46.0,1.15
p[27],0.023,0.016,0.0,0.046,0.003,0.002,22.0,44.0,1.12
p[28],0.023,0.015,0.0,0.046,0.002,0.001,32.0,51.0,1.08
p[29],0.03,0.022,0.002,0.075,0.006,0.004,19.0,44.0,1.16
p[30],0.028,0.018,0.003,0.063,0.005,0.004,16.0,35.0,1.16
p[31],0.024,0.016,0.0,0.044,0.001,0.001,415.0,215.0,1.12
p[32],0.023,0.015,0.0,0.044,0.001,0.001,65.0,60.0,1.04
p[33],0.026,0.016,0.0,0.043,0.001,0.001,64.0,100.0,1.04
p[34],0.026,0.016,0.0,0.052,0.004,0.003,18.0,24.0,1.15
p[35],0.025,0.016,0.0,0.047,0.001,0.001,157.0,48.0,1.03
p[36],0.021,0.015,0.0,0.043,0.003,0.002,22.0,78.0,1.12
