,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-1.228,0.464,-2.002,-0.418,0.032,0.023,231.0,121.0,1.02
beta[1],1.861,0.197,1.492,2.239,0.015,0.01,191.0,131.0,1.03
beta[2],1.053,0.223,0.651,1.498,0.014,0.011,251.0,144.0,1.02
beta[3],-0.827,0.085,-0.984,-0.661,0.005,0.004,303.0,250.0,1.02
beta[4],-0.429,0.09,-0.597,-0.258,0.002,0.002,2077.0,5042.0,1.0
beta[5],-1.455,0.105,-1.648,-1.25,0.001,0.001,6550.0,3588.0,1.0
gamma[0],0.984,0.127,1.0,1.0,0.014,0.01,78.0,12000.0,1.05
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.865,0.342,0.0,1.0,0.012,0.009,778.0,778.0,1.01
gamma_prev[1],0.876,0.33,0.0,1.0,0.003,0.002,10438.0,10438.0,1.0
gamma_prev[2],0.882,0.323,0.0,1.0,0.003,0.002,10349.0,10349.0,1.0
gamma_prev[3],0.878,0.327,0.0,1.0,0.003,0.002,10232.0,10232.0,1.0
gamma_prev[4],0.878,0.327,0.0,1.0,0.003,0.002,10346.0,10346.0,1.0
gamma_prev[5],0.876,0.329,0.0,1.0,0.003,0.002,10485.0,10485.0,1.0
sigma2,0.093,0.009,0.076,0.11,0.0,0.0,15744.0,7770.0,1.0
beta_ori,-0.104,0.51,-1.056,0.868,0.016,0.011,1040.0,2432.0,1.01
eta,1.517,0.683,0.598,2.767,0.014,0.01,2574.0,4230.0,1.0
pi,0.677,0.252,0.2,1.0,0.002,0.002,11352.0,6851.0,1.0
p[0],0.034,0.017,0.004,0.061,0.0,0.0,1667.0,2232.0,1.0
p[1],0.034,0.017,0.007,0.063,0.0,0.0,1834.0,1949.0,1.0
p[2],0.033,0.017,0.005,0.062,0.0,0.0,2295.0,1757.0,1.0
p[3],0.033,0.016,0.003,0.059,0.0,0.0,2530.0,2260.0,1.0
p[4],0.033,0.016,0.006,0.062,0.0,0.0,2690.0,1762.0,1.0
p[5],0.033,0.016,0.005,0.06,0.0,0.0,3147.0,1745.0,1.0
p[6],0.034,0.019,0.005,0.063,0.001,0.0,1730.0,2216.0,1.0
p[7],0.034,0.016,0.003,0.06,0.0,0.0,1779.0,1313.0,1.0
p[8],0.034,0.017,0.005,0.062,0.0,0.0,1806.0,1677.0,1.0
p[9],0.033,0.016,0.004,0.06,0.0,0.0,2259.0,1509.0,1.0
p[10],0.033,0.016,0.004,0.061,0.0,0.0,3451.0,1986.0,1.0
p[11],0.033,0.016,0.005,0.062,0.0,0.0,2425.0,1901.0,1.0
p[12],0.033,0.016,0.005,0.062,0.0,0.0,1540.0,1856.0,1.0
p[13],0.033,0.016,0.005,0.062,0.0,0.0,2543.0,1642.0,1.0
p[14],0.033,0.016,0.005,0.062,0.0,0.0,2677.0,1614.0,1.0
p[15],0.033,0.016,0.006,0.061,0.0,0.0,2533.0,1813.0,1.0
p[16],0.034,0.017,0.005,0.062,0.0,0.0,1673.0,1589.0,1.0
p[17],0.034,0.016,0.005,0.062,0.0,0.0,2170.0,1752.0,1.0
p[18],0.033,0.016,0.006,0.063,0.0,0.0,2824.0,1953.0,1.0
p[19],0.033,0.016,0.004,0.06,0.0,0.0,2425.0,1913.0,1.0
p[20],0.033,0.016,0.004,0.06,0.0,0.0,2385.0,1743.0,1.0
p[21],0.033,0.016,0.004,0.061,0.0,0.0,2799.0,1974.0,1.0
p[22],0.034,0.016,0.005,0.061,0.0,0.0,1933.0,1938.0,1.0
p[23],0.033,0.016,0.005,0.061,0.0,0.0,3109.0,1678.0,1.0
p[24],0.033,0.017,0.005,0.06,0.0,0.0,2858.0,2000.0,1.0
p[25],0.033,0.017,0.005,0.061,0.0,0.0,2423.0,1803.0,1.0
p[26],0.033,0.016,0.004,0.06,0.0,0.0,2972.0,1341.0,1.0
p[27],0.034,0.017,0.005,0.062,0.001,0.0,834.0,1672.0,1.01
p[28],0.033,0.016,0.006,0.062,0.0,0.0,1325.0,2189.0,1.0
p[29],0.033,0.015,0.005,0.06,0.0,0.0,3052.0,1490.0,1.0
