,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.2,0.666,-1.463,1.253,0.032,0.035,542.0,358.0,1.07
beta[1],-0.039,0.926,-1.824,1.914,0.017,0.034,2642.0,1639.0,1.08
beta[2],1.046,0.162,0.722,1.323,0.01,0.007,239.0,1205.0,1.02
beta[3],1.142,0.064,1.027,1.266,0.005,0.004,139.0,693.0,1.03
beta[4],-0.451,0.085,-0.608,-0.291,0.004,0.003,412.0,1110.0,1.01
beta[5],-1.471,0.102,-1.663,-1.282,0.002,0.001,4695.0,6557.0,1.0
gamma[0],0.728,0.445,0.0,1.0,0.094,0.068,22.0,22.0,1.12
gamma[1],0.419,0.493,0.0,1.0,0.098,0.07,25.0,25.0,1.13
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.66,0.474,0.0,1.0,0.073,0.052,42.0,42.0,1.06
gamma_prev[1],0.413,0.492,0.0,1.0,0.079,0.056,39.0,39.0,1.08
gamma_prev[2],0.883,0.322,0.0,1.0,0.003,0.002,9677.0,9677.0,1.0
gamma_prev[3],0.884,0.321,0.0,1.0,0.004,0.002,8352.0,8352.0,1.0
gamma_prev[4],0.88,0.324,0.0,1.0,0.003,0.002,9751.0,9751.0,1.0
gamma_prev[5],0.885,0.32,0.0,1.0,0.003,0.002,9060.0,9060.0,1.0
sigma2,0.092,0.009,0.076,0.109,0.0,0.0,13955.0,8236.0,1.0
beta_ori,0.016,0.519,-1.032,0.963,0.013,0.009,1574.0,3014.0,1.0
eta,1.261,0.631,0.453,2.353,0.014,0.01,2408.0,3585.0,1.0
pi,0.634,0.267,0.147,1.0,0.003,0.002,10490.0,7030.0,1.0
p[0],0.034,0.021,0.0,0.062,0.001,0.001,1307.0,890.0,1.0
p[1],0.034,0.02,0.0,0.062,0.001,0.0,1239.0,1112.0,1.01
p[2],0.033,0.019,0.0,0.061,0.0,0.0,1578.0,983.0,1.0
p[3],0.033,0.018,0.0,0.061,0.0,0.0,1863.0,790.0,1.0
p[4],0.033,0.019,0.0,0.061,0.0,0.0,1657.0,865.0,1.0
p[5],0.033,0.018,0.0,0.062,0.0,0.0,1951.0,1277.0,1.0
p[6],0.032,0.018,0.0,0.059,0.0,0.0,3590.0,1378.0,1.0
p[7],0.033,0.018,0.0,0.06,0.0,0.0,2571.0,993.0,1.0
p[8],0.034,0.023,0.0,0.063,0.001,0.001,1265.0,1173.0,1.01
p[9],0.033,0.018,0.0,0.061,0.0,0.0,1390.0,1101.0,1.0
p[10],0.033,0.019,0.0,0.06,0.0,0.0,1310.0,690.0,1.0
p[11],0.033,0.018,0.0,0.061,0.0,0.0,1851.0,1273.0,1.0
p[12],0.034,0.019,0.0,0.062,0.0,0.0,1939.0,1183.0,1.0
p[13],0.033,0.021,0.0,0.06,0.001,0.0,1740.0,1257.0,1.0
p[14],0.034,0.021,0.0,0.062,0.001,0.0,1262.0,1339.0,1.0
p[15],0.033,0.018,0.0,0.059,0.0,0.0,2097.0,856.0,1.0
p[16],0.033,0.019,0.0,0.06,0.0,0.0,1917.0,854.0,1.0
p[17],0.033,0.019,0.0,0.06,0.0,0.0,2098.0,1159.0,1.0
p[18],0.033,0.02,0.0,0.062,0.001,0.001,1599.0,1323.0,1.0
p[19],0.033,0.02,0.0,0.061,0.0,0.0,1860.0,1148.0,1.0
p[20],0.033,0.02,0.0,0.061,0.001,0.0,1952.0,1354.0,1.0
p[21],0.033,0.018,0.0,0.06,0.0,0.0,1639.0,1034.0,1.0
p[22],0.034,0.02,0.0,0.062,0.001,0.0,933.0,912.0,1.01
p[23],0.033,0.019,0.0,0.062,0.0,0.0,1391.0,616.0,1.0
p[24],0.033,0.018,0.0,0.059,0.0,0.0,1524.0,750.0,1.0
p[25],0.034,0.02,0.0,0.063,0.001,0.0,1311.0,1166.0,1.0
p[26],0.034,0.02,0.0,0.062,0.001,0.0,1154.0,966.0,1.0
p[27],0.033,0.019,0.0,0.059,0.0,0.0,3055.0,1251.0,1.0
p[28],0.034,0.019,0.0,0.061,0.001,0.0,886.0,906.0,1.0
p[29],0.033,0.019,0.0,0.061,0.0,0.0,2252.0,1629.0,1.0
