,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.052,0.987,-1.73,1.935,0.031,0.022,915.0,2991.0,1.01
beta[1],0.82,0.17,0.484,1.118,0.015,0.011,126.0,279.0,1.02
beta[2],0.91,0.103,0.729,1.1,0.012,0.008,80.0,151.0,1.06
beta[3],0.151,1.061,-1.846,2.168,0.021,0.065,1509.0,4244.0,1.07
beta[4],1.27,0.241,1.028,1.826,0.058,0.042,17.0,11.0,1.21
beta[5],-0.638,0.098,-0.803,-0.443,0.009,0.007,124.0,1403.0,1.03
beta[6],-1.502,0.102,-1.683,-1.304,0.005,0.004,399.0,1462.0,1.02
beta[7],0.821,0.196,0.388,1.173,0.011,0.008,304.0,545.0,1.01
gamma[0],0.322,0.467,0.0,1.0,0.095,0.068,24.0,24.0,1.13
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],0.211,0.408,0.0,1.0,0.155,0.115,7.0,7.0,1.57
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.327,0.469,0.0,1.0,0.077,0.055,37.0,37.0,1.08
gamma_prev[1],0.877,0.329,0.0,1.0,0.003,0.002,9704.0,9704.0,1.0
gamma_prev[2],0.879,0.326,0.0,1.0,0.003,0.002,8789.0,8789.0,1.0
gamma_prev[3],0.239,0.427,0.0,1.0,0.129,0.094,11.0,11.0,1.27
gamma_prev[4],0.881,0.324,0.0,1.0,0.003,0.002,10364.0,10364.0,1.0
gamma_prev[5],0.881,0.323,0.0,1.0,0.003,0.002,9953.0,9953.0,1.0
gamma_prev[6],0.884,0.32,0.0,1.0,0.003,0.002,9462.0,9462.0,1.0
gamma_prev[7],0.885,0.319,0.0,1.0,0.003,0.002,9305.0,9305.0,1.0
sigma2,0.089,0.01,0.073,0.109,0.001,0.001,46.0,44.0,1.08
beta_ori,0.163,0.447,-0.708,0.992,0.021,0.022,441.0,1220.0,1.02
eta,1.18,0.579,0.5,2.204,0.077,0.054,26.0,326.0,1.1
pi,0.654,0.248,0.187,1.0,0.008,0.007,793.0,2178.0,1.09
p[0],0.035,0.02,0.003,0.066,0.002,0.001,58.0,120.0,1.05
p[1],0.037,0.021,0.005,0.075,0.005,0.003,23.0,64.0,1.11
p[2],0.035,0.017,0.006,0.065,0.002,0.002,41.0,454.0,1.06
p[3],0.032,0.016,0.0,0.057,0.001,0.001,127.0,746.0,1.03
p[4],0.035,0.019,0.007,0.075,0.004,0.003,23.0,97.0,1.11
p[5],0.032,0.016,0.0,0.056,0.001,0.0,564.0,631.0,1.04
p[6],0.034,0.017,0.002,0.059,0.001,0.0,729.0,1162.0,1.02
p[7],0.035,0.019,0.0,0.065,0.001,0.001,196.0,90.0,1.03
p[8],0.03,0.018,0.0,0.056,0.002,0.002,41.0,744.0,1.07
p[9],0.036,0.019,0.007,0.071,0.003,0.002,39.0,459.0,1.07
p[10],0.033,0.018,0.0,0.059,0.001,0.001,136.0,845.0,1.03
p[11],0.032,0.016,0.0,0.055,0.001,0.0,645.0,825.0,1.02
p[12],0.031,0.018,0.0,0.058,0.003,0.002,26.0,265.0,1.1
p[13],0.034,0.017,0.0,0.057,0.001,0.001,105.0,751.0,1.03
p[14],0.034,0.017,0.0,0.059,0.001,0.001,382.0,1002.0,1.02
p[15],0.034,0.017,0.0,0.061,0.001,0.001,134.0,244.0,1.03
p[16],0.032,0.018,0.0,0.058,0.001,0.001,90.0,982.0,1.03
p[17],0.034,0.018,0.0,0.063,0.001,0.001,289.0,89.0,1.04
p[18],0.034,0.017,0.0,0.058,0.001,0.001,278.0,793.0,1.01
p[19],0.035,0.023,0.003,0.065,0.002,0.002,45.0,431.0,1.07
p[20],0.033,0.017,0.0,0.057,0.0,0.0,982.0,1161.0,1.02
p[21],0.034,0.018,0.0,0.064,0.001,0.001,346.0,92.0,1.06
p[22],0.033,0.017,0.0,0.059,0.001,0.0,570.0,1023.0,1.03
p[23],0.031,0.019,0.0,0.057,0.003,0.002,29.0,288.0,1.09
p[24],0.034,0.017,0.003,0.061,0.001,0.001,79.0,803.0,1.03
p[25],0.032,0.017,0.004,0.06,0.001,0.0,459.0,928.0,1.07
p[26],0.033,0.016,0.0,0.057,0.001,0.0,388.0,743.0,1.02
p[27],0.032,0.017,0.0,0.059,0.002,0.001,51.0,357.0,1.05
p[28],0.031,0.017,0.001,0.058,0.003,0.002,34.0,937.0,1.08
p[29],0.033,0.02,0.0,0.06,0.001,0.001,598.0,953.0,1.01
