,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.775,1.162,-1.552,3.044,0.168,0.12,44.0,679.0,1.07
beta[1],1.082,0.173,0.732,1.413,0.009,0.007,302.0,917.0,1.01
beta[2],1.011,0.416,0.073,1.395,0.041,0.029,83.0,116.0,1.04
beta[3],0.172,1.037,-1.811,2.091,0.043,0.031,520.0,1560.0,1.04
beta[4],0.608,1.111,-1.63,2.679,0.119,0.084,93.0,331.0,1.04
beta[5],0.265,1.083,-1.888,2.244,0.038,0.027,682.0,2369.0,1.03
beta[6],-0.449,0.086,-0.603,-0.287,0.004,0.003,516.0,3941.0,1.01
beta[7],-1.485,0.105,-1.684,-1.293,0.002,0.002,1987.0,5925.0,1.0
gamma[0],0.725,0.446,0.0,1.0,0.05,0.036,79.0,79.0,1.03
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],0.961,0.193,1.0,1.0,0.021,0.015,84.0,12000.0,1.05
gamma[3],0.423,0.494,0.0,1.0,0.074,0.053,45.0,45.0,1.09
gamma[4],0.605,0.489,0.0,1.0,0.114,0.082,18.0,18.0,1.16
gamma[5],0.32,0.467,0.0,1.0,0.084,0.06,31.0,31.0,1.12
gamma[6],1.0,0.018,1.0,1.0,0.0,0.0,1922.0,12000.0,1.0
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.663,0.473,0.0,1.0,0.041,0.029,133.0,133.0,1.02
gamma_prev[1],0.885,0.319,0.0,1.0,0.003,0.002,9345.0,9345.0,1.0
gamma_prev[2],0.854,0.353,0.0,1.0,0.017,0.012,455.0,455.0,1.01
gamma_prev[3],0.417,0.493,0.0,1.0,0.056,0.039,79.0,79.0,1.06
gamma_prev[4],0.564,0.496,0.0,1.0,0.092,0.065,29.0,29.0,1.09
gamma_prev[5],0.333,0.471,0.0,1.0,0.074,0.052,41.0,41.0,1.08
gamma_prev[6],0.886,0.318,0.0,1.0,0.003,0.002,10405.0,10405.0,1.0
gamma_prev[7],0.888,0.315,0.0,1.0,0.003,0.002,10043.0,10043.0,1.0
sigma2,0.091,0.009,0.075,0.109,0.0,0.0,6408.0,4158.0,1.0
beta_ori,0.183,0.552,-0.836,1.259,0.022,0.016,630.0,1283.0,1.01
eta,1.322,0.703,0.429,2.492,0.02,0.014,1228.0,3148.0,1.01
pi,0.623,0.271,0.137,1.0,0.006,0.004,2594.0,7331.0,1.0
p[0],0.033,0.021,0.0,0.061,0.001,0.0,1389.0,1146.0,1.01
p[1],0.035,0.024,0.0,0.064,0.001,0.001,794.0,959.0,1.01
p[2],0.033,0.019,0.0,0.061,0.0,0.0,2097.0,1117.0,1.01
p[3],0.033,0.019,0.0,0.06,0.001,0.0,1043.0,845.0,1.01
p[4],0.033,0.02,0.0,0.062,0.001,0.0,1491.0,982.0,1.0
p[5],0.033,0.019,0.0,0.062,0.0,0.0,1360.0,1035.0,1.01
p[6],0.034,0.02,0.0,0.062,0.001,0.001,713.0,798.0,1.01
p[7],0.034,0.019,0.0,0.062,0.0,0.0,1329.0,1168.0,1.01
p[8],0.033,0.021,0.0,0.06,0.001,0.001,1201.0,1212.0,1.01
p[9],0.033,0.019,0.0,0.061,0.0,0.0,1491.0,1082.0,1.0
p[10],0.034,0.021,0.0,0.064,0.001,0.0,1117.0,951.0,1.01
p[11],0.033,0.019,0.0,0.062,0.001,0.0,1073.0,1081.0,1.01
p[12],0.034,0.02,0.0,0.062,0.001,0.0,1220.0,1032.0,1.01
p[13],0.033,0.019,0.0,0.061,0.001,0.0,1451.0,1152.0,1.01
p[14],0.034,0.02,0.0,0.064,0.001,0.001,691.0,731.0,1.01
p[15],0.033,0.019,0.0,0.061,0.0,0.0,1352.0,962.0,1.01
p[16],0.033,0.019,0.0,0.063,0.0,0.0,1563.0,1315.0,1.01
p[17],0.033,0.018,0.0,0.061,0.0,0.0,1917.0,1212.0,1.01
p[18],0.032,0.019,0.0,0.059,0.0,0.0,2149.0,1095.0,1.0
p[19],0.033,0.02,0.0,0.061,0.001,0.0,1160.0,889.0,1.01
p[20],0.033,0.019,0.0,0.061,0.0,0.0,1575.0,991.0,1.0
p[21],0.034,0.02,0.0,0.063,0.001,0.0,1086.0,1524.0,1.01
p[22],0.033,0.019,0.0,0.062,0.0,0.0,1553.0,1159.0,1.0
p[23],0.033,0.02,0.0,0.061,0.001,0.0,1480.0,966.0,1.01
p[24],0.033,0.018,0.0,0.061,0.0,0.0,1443.0,864.0,1.01
p[25],0.034,0.02,0.0,0.063,0.001,0.0,1699.0,1483.0,1.0
p[26],0.033,0.021,0.0,0.061,0.001,0.001,1154.0,1281.0,1.01
p[27],0.033,0.019,0.0,0.061,0.0,0.0,1190.0,710.0,1.01
p[28],0.033,0.019,0.0,0.06,0.0,0.0,1577.0,931.0,1.0
p[29],0.034,0.02,0.0,0.063,0.001,0.0,968.0,932.0,1.01
