,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.641,1.162,-1.601,2.921,0.192,0.137,34.0,606.0,1.08
beta[1],1.057,0.171,0.721,1.381,0.012,0.008,219.0,493.0,1.02
beta[2],0.98,0.499,-0.205,1.429,0.044,0.031,125.0,120.0,1.06
beta[3],0.214,1.103,-1.845,2.308,0.046,0.033,532.0,2217.0,1.01
beta[4],0.449,1.131,-1.684,2.577,0.16,0.114,49.0,749.0,1.06
beta[5],0.286,1.05,-1.842,2.201,0.049,0.035,384.0,2565.0,1.02
beta[6],-0.449,0.088,-0.605,-0.279,0.005,0.003,391.0,1119.0,1.01
beta[7],-1.479,0.107,-1.666,-1.265,0.004,0.003,584.0,4907.0,1.01
gamma[0],0.623,0.485,0.0,1.0,0.109,0.079,20.0,20.0,1.16
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],0.912,0.283,0.0,1.0,0.043,0.03,44.0,44.0,1.11
gamma[3],0.307,0.461,0.0,1.0,0.067,0.048,47.0,47.0,1.09
gamma[4],0.546,0.498,0.0,1.0,0.14,0.102,13.0,13.0,1.27
gamma[5],0.371,0.483,0.0,1.0,0.081,0.058,36.0,36.0,1.09
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.581,0.493,0.0,1.0,0.087,0.062,32.0,32.0,1.09
gamma_prev[1],0.886,0.318,0.0,1.0,0.003,0.002,10125.0,10125.0,1.0
gamma_prev[2],0.816,0.388,0.0,1.0,0.035,0.025,123.0,123.0,1.04
gamma_prev[3],0.324,0.468,0.0,1.0,0.056,0.039,71.0,71.0,1.06
gamma_prev[4],0.52,0.5,0.0,1.0,0.114,0.082,19.0,19.0,1.16
gamma_prev[5],0.378,0.485,0.0,1.0,0.066,0.047,55.0,55.0,1.05
gamma_prev[6],0.888,0.315,0.0,1.0,0.003,0.002,9143.0,9143.0,1.0
gamma_prev[7],0.884,0.32,0.0,1.0,0.003,0.002,10209.0,10209.0,1.0
sigma2,0.092,0.009,0.074,0.109,0.0,0.0,7403.0,7301.0,1.0
beta_ori,0.15,0.543,-0.9,1.152,0.022,0.015,632.0,1887.0,1.01
eta,1.332,0.715,0.414,2.54,0.02,0.014,1229.0,2446.0,1.01
pi,0.613,0.272,0.127,1.0,0.005,0.003,4589.0,6145.0,1.0
p[0],0.034,0.017,0.0,0.056,0.0,0.0,1479.0,716.0,1.0
p[1],0.033,0.016,0.0,0.054,0.0,0.0,1432.0,411.0,1.0
p[2],0.034,0.017,0.004,0.058,0.0,0.0,1849.0,833.0,1.01
p[3],0.034,0.018,0.0,0.056,0.001,0.0,1019.0,522.0,1.01
p[4],0.033,0.015,0.003,0.057,0.0,0.0,1851.0,519.0,1.0
p[5],0.033,0.015,0.0,0.054,0.0,0.0,2737.0,671.0,1.0
p[6],0.033,0.016,0.006,0.06,0.0,0.0,1522.0,806.0,1.01
p[7],0.033,0.015,0.0,0.053,0.0,0.0,983.0,423.0,1.0
p[8],0.035,0.018,0.0,0.057,0.001,0.001,486.0,468.0,1.01
p[9],0.034,0.017,0.005,0.06,0.001,0.0,1129.0,769.0,1.0
p[10],0.033,0.015,0.0,0.054,0.0,0.0,1238.0,470.0,1.0
p[11],0.033,0.015,0.0,0.053,0.0,0.0,1693.0,530.0,1.0
p[12],0.033,0.015,0.0,0.053,0.0,0.0,1934.0,641.0,1.0
p[13],0.035,0.022,0.0,0.058,0.001,0.001,739.0,374.0,1.0
p[14],0.034,0.016,0.0,0.056,0.0,0.0,1403.0,631.0,1.0
p[15],0.034,0.017,0.0,0.055,0.001,0.001,1005.0,536.0,1.01
p[16],0.033,0.015,0.002,0.056,0.0,0.0,1702.0,552.0,1.0
p[17],0.033,0.015,0.0,0.054,0.0,0.0,2077.0,733.0,1.0
p[18],0.034,0.016,0.006,0.06,0.0,0.0,1207.0,609.0,1.0
p[19],0.033,0.016,0.002,0.057,0.0,0.0,1213.0,504.0,1.01
p[20],0.032,0.015,0.0,0.053,0.0,0.0,1128.0,444.0,1.0
p[21],0.034,0.023,0.0,0.054,0.002,0.001,765.0,341.0,1.01
p[22],0.032,0.014,0.0,0.053,0.0,0.0,1984.0,591.0,1.01
p[23],0.033,0.015,0.004,0.058,0.0,0.0,1508.0,558.0,1.0
p[24],0.033,0.015,0.0,0.054,0.0,0.0,1146.0,567.0,1.01
p[25],0.034,0.017,0.0,0.055,0.001,0.001,1083.0,699.0,1.0
p[26],0.033,0.018,0.0,0.054,0.001,0.0,1012.0,436.0,1.01
p[27],0.033,0.016,0.0,0.054,0.0,0.0,1644.0,612.0,1.0
p[28],0.033,0.015,0.004,0.058,0.0,0.0,2549.0,935.0,1.0
p[29],0.033,0.014,0.0,0.053,0.0,0.0,2302.0,666.0,1.01
