,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.773,0.198,0.372,1.177,0.02,0.014,121.0,74.0,1.03
beta[1],0.671,0.253,0.324,1.132,0.019,0.02,159.0,76.0,1.03
beta[2],1.148,0.054,1.05,1.252,0.002,0.001,997.0,4047.0,1.01
beta[3],-0.624,0.109,-0.832,-0.421,0.004,0.003,607.0,1146.0,1.01
beta[4],-1.464,0.105,-1.655,-1.263,0.003,0.002,1658.0,2413.0,1.0
beta[5],0.578,0.413,0.149,1.188,0.03,0.021,335.0,83.0,1.03
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],0.983,0.129,1.0,1.0,0.023,0.016,32.0,12000.0,1.07
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],0.934,0.248,0.0,1.0,0.039,0.028,40.0,40.0,1.09
gamma_prev[0],0.882,0.322,0.0,1.0,0.003,0.002,9459.0,9459.0,1.0
gamma_prev[1],0.867,0.34,0.0,1.0,0.014,0.01,604.0,604.0,1.01
gamma_prev[2],0.878,0.328,0.0,1.0,0.003,0.002,9881.0,9881.0,1.0
gamma_prev[3],0.877,0.329,0.0,1.0,0.003,0.002,10126.0,10126.0,1.0
gamma_prev[4],0.878,0.327,0.0,1.0,0.003,0.002,9454.0,9454.0,1.0
gamma_prev[5],0.824,0.381,0.0,1.0,0.026,0.019,207.0,207.0,1.02
sigma2,0.089,0.009,0.072,0.105,0.0,0.0,4578.0,4336.0,1.0
beta_ori,0.119,0.478,-0.868,0.964,0.013,0.009,1429.0,982.0,1.0
eta,1.256,0.631,0.421,2.318,0.014,0.01,2274.0,2903.0,1.0
pi,0.677,0.25,0.21,1.0,0.003,0.002,7576.0,6964.0,1.0
p[0],0.033,0.018,0.0,0.06,0.0,0.0,1022.0,294.0,1.01
p[1],0.033,0.018,0.0,0.061,0.001,0.0,825.0,401.0,1.01
p[2],0.035,0.023,0.0,0.063,0.001,0.001,521.0,390.0,1.01
p[3],0.033,0.019,0.0,0.061,0.001,0.0,834.0,357.0,1.01
p[4],0.033,0.02,0.0,0.059,0.001,0.0,785.0,329.0,1.0
p[5],0.033,0.018,0.0,0.06,0.0,0.0,842.0,330.0,1.01
p[6],0.033,0.021,0.0,0.06,0.001,0.001,1381.0,743.0,1.01
p[7],0.034,0.02,0.0,0.061,0.001,0.0,649.0,297.0,1.01
p[8],0.033,0.018,0.0,0.06,0.0,0.0,957.0,290.0,1.01
p[9],0.032,0.018,0.0,0.059,0.0,0.0,699.0,246.0,1.01
p[10],0.035,0.022,0.0,0.063,0.001,0.001,814.0,327.0,1.01
p[11],0.033,0.018,0.0,0.06,0.0,0.0,904.0,350.0,1.01
p[12],0.032,0.017,0.0,0.058,0.0,0.0,728.0,244.0,1.01
p[13],0.034,0.024,0.0,0.063,0.001,0.001,908.0,630.0,1.01
p[14],0.034,0.022,0.0,0.06,0.001,0.001,1118.0,441.0,1.01
p[15],0.035,0.025,0.0,0.063,0.002,0.001,525.0,220.0,1.01
p[16],0.033,0.019,0.0,0.06,0.001,0.0,735.0,330.0,1.01
p[17],0.033,0.02,0.0,0.059,0.001,0.001,741.0,273.0,1.01
p[18],0.034,0.02,0.0,0.062,0.001,0.001,578.0,265.0,1.01
p[19],0.033,0.021,0.0,0.061,0.0,0.0,1425.0,419.0,1.01
p[20],0.032,0.018,0.0,0.059,0.0,0.0,891.0,269.0,1.01
p[21],0.033,0.019,0.0,0.059,0.0,0.0,1511.0,416.0,1.0
p[22],0.033,0.02,0.0,0.061,0.001,0.0,565.0,246.0,1.01
p[23],0.034,0.02,0.0,0.061,0.001,0.0,705.0,272.0,1.01
p[24],0.033,0.019,0.0,0.06,0.0,0.0,1067.0,445.0,1.0
p[25],0.033,0.021,0.0,0.06,0.001,0.001,445.0,191.0,1.01
p[26],0.033,0.019,0.0,0.06,0.001,0.0,785.0,274.0,1.01
p[27],0.033,0.018,0.0,0.058,0.0,0.0,1064.0,354.0,1.01
p[28],0.033,0.019,0.0,0.061,0.0,0.0,1064.0,410.0,1.01
p[29],0.034,0.021,0.0,0.062,0.001,0.0,1064.0,494.0,1.01
