,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-1.326,0.561,-2.232,-0.565,0.089,0.063,79.0,30.0,1.04
beta[1],1.52,0.225,1.075,1.942,0.034,0.026,52.0,25.0,1.05
beta[2],0.847,0.383,0.443,1.328,0.048,0.034,259.0,39.0,1.04
beta[3],-0.664,0.092,-0.848,-0.5,0.009,0.007,103.0,209.0,1.03
beta[4],-0.624,0.091,-0.788,-0.444,0.002,0.001,2464.0,4921.0,1.0
beta[5],-1.48,0.103,-1.682,-1.289,0.008,0.006,165.0,178.0,1.02
beta[6],0.883,0.202,0.511,1.301,0.012,0.009,299.0,206.0,1.01
gamma[0],0.966,0.18,1.0,1.0,0.043,0.031,18.0,12000.0,1.17
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],0.958,0.201,1.0,1.0,0.055,0.04,13.0,12000.0,1.23
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.85,0.358,0.0,1.0,0.033,0.023,117.0,117.0,1.02
gamma_prev[1],0.873,0.333,0.0,1.0,0.003,0.002,9850.0,9850.0,1.0
gamma_prev[2],0.84,0.366,0.0,1.0,0.045,0.032,66.0,66.0,1.04
gamma_prev[3],0.874,0.332,0.0,1.0,0.003,0.002,9820.0,9820.0,1.0
gamma_prev[4],0.875,0.331,0.0,1.0,0.003,0.002,10117.0,10117.0,1.0
gamma_prev[5],0.874,0.332,0.0,1.0,0.003,0.002,9461.0,9461.0,1.0
gamma_prev[6],0.875,0.331,0.0,1.0,0.003,0.002,10352.0,10352.0,1.0
sigma2,0.088,0.009,0.072,0.105,0.0,0.0,1001.0,3388.0,1.01
beta_ori,-0.077,0.499,-1.046,0.857,0.018,0.013,789.0,2928.0,1.0
eta,1.44,0.675,0.492,2.592,0.013,0.009,2572.0,4860.0,1.0
pi,0.7,0.239,0.24,1.0,0.002,0.002,11649.0,7548.0,1.0
p[0],0.032,0.018,0.0,0.059,0.0,0.0,1355.0,766.0,1.0
p[1],0.032,0.019,0.0,0.06,0.0,0.0,1309.0,645.0,1.01
p[2],0.033,0.02,0.0,0.062,0.001,0.0,1046.0,775.0,1.01
p[3],0.034,0.022,0.0,0.064,0.001,0.001,476.0,539.0,1.01
p[4],0.033,0.02,0.0,0.062,0.001,0.001,1028.0,657.0,1.01
p[5],0.033,0.021,0.0,0.061,0.001,0.001,600.0,559.0,1.01
p[6],0.032,0.019,0.0,0.06,0.0,0.0,1546.0,828.0,1.01
p[7],0.035,0.021,0.0,0.064,0.001,0.001,565.0,569.0,1.01
p[8],0.033,0.021,0.0,0.061,0.001,0.001,1065.0,712.0,1.01
p[9],0.033,0.021,0.0,0.062,0.001,0.0,986.0,649.0,1.01
p[10],0.034,0.02,0.0,0.063,0.001,0.0,1040.0,731.0,1.01
p[11],0.032,0.018,0.0,0.059,0.0,0.0,1379.0,667.0,1.0
p[12],0.032,0.019,0.0,0.06,0.001,0.0,1230.0,637.0,1.01
p[13],0.032,0.019,0.0,0.06,0.001,0.0,1094.0,682.0,1.01
p[14],0.033,0.021,0.0,0.06,0.001,0.0,1207.0,711.0,1.01
p[15],0.034,0.022,0.0,0.063,0.001,0.001,939.0,842.0,1.01
p[16],0.034,0.022,0.0,0.062,0.001,0.001,620.0,634.0,1.01
p[17],0.033,0.022,0.0,0.061,0.001,0.001,701.0,657.0,1.01
p[18],0.034,0.02,0.0,0.063,0.001,0.0,949.0,617.0,1.01
p[19],0.034,0.021,0.0,0.065,0.001,0.001,615.0,570.0,1.01
p[20],0.034,0.02,0.0,0.063,0.001,0.001,819.0,627.0,1.01
p[21],0.032,0.018,0.0,0.059,0.0,0.0,1270.0,598.0,1.01
p[22],0.033,0.021,0.0,0.062,0.001,0.001,745.0,585.0,1.01
p[23],0.034,0.022,0.0,0.062,0.001,0.001,473.0,508.0,1.01
p[24],0.033,0.019,0.0,0.062,0.0,0.0,1257.0,746.0,1.0
p[25],0.034,0.021,0.0,0.063,0.001,0.0,925.0,734.0,1.0
p[26],0.035,0.022,0.0,0.065,0.001,0.001,373.0,570.0,1.01
p[27],0.035,0.023,0.0,0.064,0.001,0.001,677.0,667.0,1.01
p[28],0.032,0.018,0.0,0.059,0.0,0.0,1242.0,558.0,1.0
p[29],0.035,0.024,0.0,0.066,0.001,0.001,651.0,706.0,1.01
