,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-4.073,0.087,-4.254,-3.916,0.003,0.002,604.0,692.0,1.02
beta[1],0.699,0.04,0.622,0.77,0.002,0.002,301.0,1070.0,1.01
beta[2],1.027,0.025,0.982,1.077,0.001,0.001,526.0,836.0,1.03
beta[3],-0.997,0.033,-1.056,-0.931,0.005,0.004,40.0,164.0,1.06
beta[4],0.462,0.023,0.419,0.506,0.001,0.001,642.0,3582.0,1.02
beta[5],-0.304,0.047,-0.396,-0.22,0.001,0.001,2304.0,1941.0,1.0
beta[6],0.481,0.053,0.413,0.62,0.002,0.002,356.0,1107.0,1.03
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
sigma2,0.027,0.002,0.024,0.03,0.0,0.0,216.0,1014.0,1.03
eta,1.55,0.367,0.957,2.202,0.044,0.031,54.0,287.0,1.06
pi,0.653,0.094,0.474,0.819,0.006,0.004,284.0,2292.0,1.0
p[0],0.143,0.083,0.012,0.31,0.015,0.011,40.0,40.0,1.07
p[1],0.135,0.073,0.014,0.259,0.01,0.007,40.0,41.0,1.06
p[2],0.139,0.074,0.011,0.263,0.015,0.011,22.0,33.0,1.12
p[3],0.132,0.066,0.028,0.256,0.01,0.007,42.0,809.0,1.06
p[4],0.16,0.072,0.036,0.296,0.014,0.01,27.0,89.0,1.09
p[5],0.154,0.073,0.025,0.287,0.01,0.007,46.0,187.0,1.06
p[6],0.137,0.07,0.016,0.26,0.005,0.004,172.0,308.0,1.02
