,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-4.118,0.083,-4.26,-3.947,0.006,0.004,177.0,575.0,1.02
beta[1],0.682,0.035,0.622,0.756,0.002,0.001,520.0,494.0,1.05
beta[2],1.04,0.024,0.994,1.083,0.002,0.002,110.0,1255.0,1.03
beta[3],-0.99,0.032,-1.049,-0.929,0.002,0.001,418.0,325.0,1.02
beta[4],0.46,0.027,0.407,0.51,0.001,0.001,508.0,642.0,1.01
beta[5],0.614,0.093,0.432,0.717,0.004,0.003,1143.0,2138.0,1.03
beta[6],-0.301,0.046,-0.379,-0.207,0.001,0.001,1548.0,5093.0,1.01
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
sigma2,0.027,0.002,0.024,0.031,0.0,0.0,303.0,1771.0,1.01
eta,1.575,0.352,0.981,2.222,0.016,0.012,517.0,1022.0,1.05
pi,0.66,0.093,0.482,0.825,0.009,0.006,136.0,5606.0,1.02
p[0],0.135,0.066,0.014,0.246,0.007,0.005,58.0,643.0,1.04
p[1],0.14,0.066,0.014,0.253,0.009,0.007,44.0,118.0,1.06
p[2],0.145,0.075,0.023,0.276,0.008,0.006,83.0,20.0,1.04
p[3],0.143,0.064,0.034,0.267,0.002,0.001,1540.0,1885.0,1.05
p[4],0.138,0.066,0.02,0.26,0.007,0.005,89.0,358.0,1.04
p[5],0.157,0.07,0.038,0.289,0.005,0.004,195.0,457.0,1.02
p[6],0.143,0.068,0.035,0.286,0.002,0.002,1005.0,315.0,1.06
