,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-4.112,0.086,-4.256,-3.937,0.003,0.002,1127.0,1669.0,1.0
beta[1],0.683,0.037,0.615,0.755,0.001,0.001,1207.0,1797.0,1.0
beta[2],1.038,0.025,0.987,1.08,0.001,0.001,1175.0,918.0,1.0
beta[3],-0.993,0.034,-1.057,-0.93,0.001,0.0,2800.0,3086.0,1.0
beta[4],0.46,0.026,0.412,0.51,0.001,0.0,2452.0,1023.0,1.0
beta[5],0.607,0.099,0.425,0.714,0.003,0.002,1268.0,3414.0,1.0
beta[6],-0.3,0.048,-0.39,-0.211,0.001,0.001,3548.0,5247.0,1.0
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
sigma2,0.028,0.002,0.024,0.031,0.0,0.0,4212.0,4490.0,1.0
eta,1.546,0.326,1.017,2.184,0.006,0.004,3580.0,2065.0,1.0
pi,0.733,0.111,0.538,0.939,0.002,0.001,4190.0,3729.0,1.0
p[0],0.12,0.085,0.0,0.274,0.012,0.009,37.0,144.0,1.07
p[1],0.151,0.091,0.008,0.317,0.002,0.002,1787.0,2294.0,1.01
p[2],0.166,0.097,0.007,0.342,0.009,0.007,96.0,1713.0,1.03
p[3],0.114,0.082,0.0,0.261,0.014,0.01,30.0,267.0,1.09
p[4],0.163,0.098,0.005,0.336,0.007,0.005,149.0,1195.0,1.02
p[5],0.152,0.091,0.008,0.315,0.008,0.005,188.0,2011.0,1.02
p[6],0.134,0.084,0.0,0.283,0.003,0.002,456.0,1298.0,1.01
