,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-2.723,1.064,-4.048,-1.532,0.424,0.315,8.0,63.0,1.4
beta[1],0.574,0.766,-0.006,1.435,0.068,0.048,35.0,87.0,1.08
beta[2],0.19,1.184,-2.247,2.098,0.203,0.145,42.0,159.0,1.39
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,8000.0,8000.0,
gamma[1],0.925,0.263,0.0,1.0,0.034,0.024,61.0,61.0,1.07
gamma[2],0.513,0.5,0.0,1.0,0.214,0.16,5.0,5.0,2.0
gamma_prev[0],0.897,0.304,0.0,1.0,0.004,0.003,5944.0,5944.0,1.0
gamma_prev[1],0.841,0.366,0.0,1.0,0.026,0.018,200.0,200.0,1.03
gamma_prev[2],0.508,0.5,0.0,1.0,0.178,0.131,8.0,8.0,1.45
sigma2,0.103,0.022,0.072,0.143,0.007,0.005,8.0,18.0,1.4
beta_ori,-0.715,0.807,-1.915,0.724,0.278,0.236,8.0,22.0,1.44
eta,2.55,2.412,0.37,5.246,0.219,0.155,29.0,186.0,1.27
pi,0.509,0.248,0.131,0.998,0.042,0.032,43.0,847.0,1.19
p[0],0.08,0.064,0.0,0.205,0.024,0.018,9.0,15.0,1.38
p[1],0.05,0.042,0.0,0.121,0.005,0.003,57.0,283.0,1.06
p[2],0.037,0.04,0.0,0.112,0.007,0.005,29.0,432.0,1.09
p[3],0.049,0.037,0.0,0.11,0.004,0.003,50.0,346.0,1.19
p[4],0.043,0.046,0.0,0.127,0.012,0.008,10.0,137.0,1.29
p[5],0.034,0.042,0.0,0.12,0.009,0.006,15.0,272.0,1.19
p[6],0.047,0.043,0.0,0.128,0.009,0.006,36.0,466.0,1.24
p[7],0.054,0.043,0.0,0.127,0.007,0.005,28.0,366.0,1.15
p[8],0.044,0.037,0.0,0.111,0.004,0.003,156.0,318.0,1.07
p[9],0.04,0.045,0.0,0.127,0.01,0.007,14.0,139.0,1.21
p[10],0.058,0.046,0.0,0.134,0.012,0.009,14.0,148.0,1.21
p[11],0.036,0.04,0.0,0.116,0.009,0.007,14.0,371.0,1.2
p[12],0.047,0.053,0.0,0.152,0.014,0.01,8.0,62.0,1.41
p[13],0.053,0.041,0.0,0.123,0.006,0.004,39.0,766.0,1.3
p[14],0.058,0.042,0.0,0.118,0.007,0.005,24.0,256.0,1.11
p[15],0.043,0.039,0.0,0.118,0.004,0.003,44.0,377.0,1.18
p[16],0.051,0.039,0.0,0.114,0.005,0.003,38.0,287.0,1.17
p[17],0.089,0.09,0.0,0.255,0.04,0.03,7.0,15.0,1.53
p[18],0.037,0.044,0.0,0.12,0.009,0.006,15.0,532.0,1.19
p[19],0.052,0.056,0.0,0.163,0.013,0.009,29.0,30.0,1.11
