,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-4.062,0.091,-4.233,-3.892,0.004,0.003,448.0,435.0,1.01
beta[1],-0.313,1.653,-4.222,2.147,0.029,0.032,3915.0,4345.0,1.03
beta[2],0.703,0.041,0.629,0.782,0.002,0.001,408.0,384.0,1.01
beta[3],1.018,0.028,0.962,1.069,0.002,0.002,178.0,181.0,1.03
beta[4],-1.003,0.032,-1.063,-0.943,0.001,0.001,1544.0,2600.0,1.0
beta[5],-0.306,0.047,-0.397,-0.219,0.001,0.001,2305.0,3255.0,1.0
beta[6],0.469,0.024,0.424,0.513,0.001,0.0,1866.0,3398.0,1.0
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],0.134,0.34,0.0,1.0,0.041,0.029,70.0,70.0,1.08
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.884,0.32,0.0,1.0,0.003,0.002,10460.0,10460.0,1.0
gamma_prev[1],0.176,0.381,0.0,1.0,0.033,0.023,136.0,136.0,1.04
gamma_prev[2],0.882,0.323,0.0,1.0,0.003,0.002,9722.0,9722.0,1.0
gamma_prev[3],0.881,0.324,0.0,1.0,0.003,0.002,9109.0,9109.0,1.0
gamma_prev[4],0.882,0.322,0.0,1.0,0.003,0.002,9360.0,9360.0,1.0
gamma_prev[5],0.879,0.326,0.0,1.0,0.003,0.002,9851.0,9851.0,1.0
gamma_prev[6],0.88,0.325,0.0,1.0,0.003,0.002,9775.0,9775.0,1.0
sigma2,0.028,0.002,0.025,0.032,0.0,0.0,782.0,865.0,1.01
beta_ori,-0.361,0.529,-1.37,0.591,0.027,0.021,372.0,1590.0,1.01
eta,2.829,1.557,0.847,5.308,0.064,0.045,427.0,1620.0,1.02
pi,0.646,0.254,0.18,0.996,0.009,0.007,1136.0,5950.0,1.0
p[0],0.034,0.021,0.0,0.063,0.001,0.001,791.0,393.0,1.03
p[1],0.032,0.018,0.0,0.062,0.001,0.001,382.0,417.0,1.01
p[2],0.033,0.021,0.0,0.068,0.002,0.002,217.0,49.0,1.02
p[3],0.032,0.018,0.0,0.061,0.001,0.0,491.0,345.0,1.01
p[4],0.034,0.023,0.0,0.065,0.001,0.001,404.0,329.0,1.01
p[5],0.034,0.022,0.001,0.065,0.001,0.001,469.0,492.0,1.01
p[6],0.035,0.021,0.0,0.067,0.001,0.001,489.0,451.0,1.02
p[7],0.033,0.019,0.0,0.062,0.001,0.0,498.0,691.0,1.01
p[8],0.034,0.019,0.0,0.061,0.001,0.001,333.0,236.0,1.02
p[9],0.033,0.019,0.0,0.064,0.001,0.001,470.0,342.0,1.01
p[10],0.034,0.021,0.0,0.066,0.002,0.001,89.0,268.0,1.03
p[11],0.032,0.018,0.0,0.061,0.001,0.0,573.0,811.0,1.01
p[12],0.033,0.018,0.0,0.062,0.001,0.001,147.0,397.0,1.02
p[13],0.033,0.019,0.002,0.064,0.001,0.001,553.0,809.0,1.01
p[14],0.034,0.022,0.0,0.065,0.001,0.001,469.0,435.0,1.02
p[15],0.031,0.018,0.0,0.06,0.001,0.001,299.0,250.0,1.01
p[16],0.034,0.019,0.0,0.066,0.001,0.001,177.0,213.0,1.03
p[17],0.036,0.022,0.0,0.067,0.003,0.002,53.0,617.0,1.05
p[18],0.031,0.019,0.0,0.063,0.001,0.001,220.0,207.0,1.02
p[19],0.032,0.019,0.0,0.062,0.001,0.001,404.0,214.0,1.01
p[20],0.033,0.019,0.0,0.062,0.002,0.001,125.0,277.0,1.03
p[21],0.033,0.018,0.004,0.066,0.001,0.001,259.0,359.0,1.01
p[22],0.032,0.019,0.0,0.062,0.001,0.001,127.0,504.0,1.03
p[23],0.033,0.021,0.0,0.062,0.001,0.001,316.0,489.0,1.01
p[24],0.034,0.02,0.0,0.067,0.001,0.001,385.0,256.0,1.02
p[25],0.038,0.026,0.005,0.076,0.002,0.002,72.0,182.0,1.04
p[26],0.035,0.02,0.0,0.066,0.001,0.001,135.0,194.0,1.04
p[27],0.032,0.018,0.0,0.062,0.001,0.001,400.0,282.0,1.02
p[28],0.032,0.019,0.0,0.061,0.001,0.001,456.0,277.0,1.01
p[29],0.032,0.018,0.0,0.064,0.001,0.001,480.0,328.0,1.01
