,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-4.056,0.088,-4.223,-3.893,0.006,0.005,200.0,240.0,1.13
beta[1],0.65,0.045,0.563,0.727,0.005,0.003,95.0,348.0,1.04
beta[2],0.963,0.037,0.895,1.037,0.003,0.002,153.0,153.0,1.02
beta[3],-0.996,0.031,-1.052,-0.936,0.001,0.001,1381.0,2507.0,1.01
beta[4],0.151,0.571,-0.057,0.727,0.016,0.02,228.0,88.0,1.02
beta[5],0.449,0.026,0.399,0.497,0.001,0.001,968.0,3916.0,1.0
beta[6],0.536,0.051,0.443,0.625,0.004,0.003,197.0,1141.0,1.03
beta[7],-0.304,0.048,-0.396,-0.218,0.001,0.001,2318.0,1969.0,1.01
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],0.924,0.265,0.0,1.0,0.042,0.03,39.0,39.0,1.07
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.863,0.344,0.0,1.0,0.003,0.002,10518.0,10518.0,1.0
gamma_prev[1],0.866,0.34,0.0,1.0,0.003,0.002,9688.0,9688.0,1.0
gamma_prev[2],0.866,0.34,0.0,1.0,0.003,0.002,10342.0,10342.0,1.0
gamma_prev[3],0.864,0.343,0.0,1.0,0.003,0.002,9971.0,9971.0,1.0
gamma_prev[4],0.804,0.397,0.0,1.0,0.031,0.022,166.0,166.0,1.01
gamma_prev[5],0.863,0.344,0.0,1.0,0.003,0.002,10326.0,10326.0,1.0
gamma_prev[6],0.864,0.343,0.0,1.0,0.003,0.002,10435.0,10435.0,1.0
gamma_prev[7],0.863,0.344,0.0,1.0,0.004,0.002,9611.0,9611.0,1.0
sigma2,0.027,0.002,0.024,0.03,0.0,0.0,1976.0,6281.0,1.12
beta_ori,-0.251,0.519,-1.339,0.787,0.054,0.051,103.0,93.0,1.07
eta,2.766,1.959,0.584,5.817,0.408,0.292,10.0,13.0,1.29
pi,0.751,0.227,0.288,1.0,0.028,0.022,99.0,1622.0,1.03
p[0],0.033,0.02,0.002,0.066,0.003,0.002,33.0,771.0,1.07
p[1],0.033,0.017,0.0,0.06,0.001,0.0,508.0,729.0,1.12
p[2],0.038,0.025,0.003,0.083,0.008,0.006,13.0,46.0,1.22
p[3],0.037,0.021,0.004,0.07,0.005,0.003,21.0,472.0,1.12
p[4],0.034,0.018,0.0,0.061,0.001,0.0,700.0,639.0,1.09
p[5],0.031,0.02,0.0,0.063,0.003,0.002,42.0,103.0,1.06
p[6],0.036,0.02,0.0,0.063,0.002,0.002,48.0,1064.0,1.05
p[7],0.032,0.019,0.0,0.063,0.003,0.002,31.0,453.0,1.08
p[8],0.034,0.018,0.0,0.058,0.003,0.002,32.0,928.0,1.08
p[9],0.029,0.019,0.0,0.06,0.004,0.003,17.0,276.0,1.15
p[10],0.029,0.019,0.0,0.06,0.003,0.002,29.0,1055.0,1.1
p[11],0.03,0.021,0.0,0.068,0.005,0.004,15.0,92.0,1.19
p[12],0.039,0.022,0.0,0.071,0.005,0.003,23.0,106.0,1.11
p[13],0.035,0.018,0.0,0.063,0.002,0.001,66.0,883.0,1.04
p[14],0.03,0.019,0.001,0.063,0.004,0.003,22.0,1031.0,1.11
p[15],0.036,0.019,0.005,0.068,0.004,0.003,19.0,208.0,1.14
p[16],0.037,0.021,0.0,0.068,0.003,0.002,32.0,135.0,1.08
p[17],0.034,0.019,0.0,0.065,0.002,0.002,96.0,522.0,1.13
p[18],0.034,0.02,0.0,0.064,0.001,0.001,115.0,581.0,1.13
p[19],0.034,0.019,0.0,0.068,0.001,0.001,399.0,108.0,1.18
p[20],0.031,0.019,0.0,0.061,0.002,0.001,122.0,412.0,1.03
p[21],0.031,0.02,0.005,0.068,0.003,0.002,49.0,1028.0,1.06
p[22],0.034,0.019,0.0,0.06,0.002,0.002,45.0,726.0,1.06
p[23],0.028,0.017,0.0,0.058,0.003,0.002,31.0,676.0,1.09
p[24],0.033,0.02,0.003,0.067,0.004,0.003,22.0,1034.0,1.12
p[25],0.039,0.022,0.007,0.076,0.006,0.004,15.0,169.0,1.18
p[26],0.029,0.022,0.0,0.063,0.005,0.003,18.0,91.0,1.16
p[27],0.036,0.02,0.003,0.066,0.005,0.003,19.0,483.0,1.14
p[28],0.036,0.019,0.001,0.065,0.002,0.002,52.0,514.0,1.05
p[29],0.028,0.019,0.0,0.058,0.004,0.003,19.0,316.0,1.14
