,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-4.037,0.198,-4.286,-3.838,0.016,0.012,190.0,75.0,1.03
beta[1],0.69,0.07,0.524,0.795,0.008,0.005,92.0,31.0,1.05
beta[2],0.989,0.162,0.897,1.075,0.016,0.011,71.0,190.0,1.03
beta[3],-0.999,0.039,-1.07,-0.925,0.001,0.001,792.0,1112.0,1.01
beta[4],-0.27,1.498,-4.106,1.069,0.06,0.051,1640.0,548.0,1.05
beta[5],-0.307,0.059,-0.413,-0.2,0.002,0.002,1087.0,703.0,1.0
beta[6],0.467,0.043,0.408,0.533,0.003,0.002,243.0,136.0,1.02
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[2],0.992,0.092,1.0,1.0,0.012,0.008,61.0,16000.0,1.04
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[4],0.309,0.462,0.0,1.0,0.087,0.063,28.0,28.0,1.11
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,16000.0,16000.0,
gamma_prev[0],0.895,0.306,0.0,1.0,0.003,0.002,12674.0,12674.0,1.0
gamma_prev[1],0.896,0.306,0.0,1.0,0.003,0.002,12865.0,12865.0,1.0
gamma_prev[2],0.893,0.309,0.0,1.0,0.006,0.005,2357.0,2357.0,1.0
gamma_prev[3],0.894,0.307,0.0,1.0,0.003,0.002,13034.0,13034.0,1.0
gamma_prev[4],0.342,0.475,0.0,1.0,0.07,0.05,45.0,45.0,1.06
gamma_prev[5],0.897,0.305,0.0,1.0,0.003,0.002,13168.0,13168.0,1.0
gamma_prev[6],0.896,0.305,0.0,1.0,0.003,0.002,12826.0,12826.0,1.0
sigma2,0.039,0.005,0.033,0.043,0.001,0.0,538.0,446.0,1.01
beta_ori,-0.348,0.534,-1.338,0.687,0.01,0.007,2903.0,5565.0,1.01
eta,1.578,0.363,0.986,2.26,0.008,0.006,1770.0,4504.0,1.0
pi,0.531,0.117,0.319,0.757,0.001,0.001,10904.0,7542.0,1.0
p[0],0.143,0.058,0.039,0.252,0.001,0.001,3717.0,3892.0,1.0
p[1],0.145,0.059,0.037,0.253,0.002,0.001,1302.0,4292.0,1.0
p[2],0.143,0.06,0.042,0.257,0.002,0.001,897.0,5309.0,1.01
p[3],0.141,0.06,0.022,0.243,0.004,0.003,151.0,39.0,1.02
p[4],0.146,0.058,0.039,0.253,0.002,0.002,561.0,1990.0,1.01
p[5],0.143,0.06,0.038,0.261,0.003,0.002,420.0,819.0,1.01
p[6],0.138,0.059,0.039,0.249,0.002,0.002,437.0,459.0,1.01
