,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],1.147,0.059,1.038,1.255,0.005,0.003,159.0,546.0,1.02
beta[1],0.313,0.047,0.226,0.4,0.003,0.002,308.0,537.0,1.01
beta[2],-0.416,0.034,-0.483,-0.357,0.002,0.002,240.0,368.0,1.02
beta[3],0.406,0.06,0.296,0.516,0.004,0.003,215.0,1493.0,1.02
beta[4],1.122,0.053,1.019,1.213,0.004,0.003,180.0,760.0,1.02
beta[5],-0.41,0.037,-0.485,-0.341,0.002,0.002,319.0,407.0,1.01
beta[6],-0.735,0.047,-0.822,-0.647,0.002,0.002,425.0,667.0,1.01
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.884,0.32,0.0,1.0,0.003,0.002,10276.0,10276.0,1.0
gamma_prev[1],0.882,0.323,0.0,1.0,0.003,0.002,9506.0,9506.0,1.0
gamma_prev[2],0.88,0.325,0.0,1.0,0.003,0.002,9352.0,9352.0,1.0
gamma_prev[3],0.884,0.32,0.0,1.0,0.003,0.002,10167.0,10167.0,1.0
gamma_prev[4],0.885,0.319,0.0,1.0,0.003,0.002,9823.0,9823.0,1.0
gamma_prev[5],0.879,0.326,0.0,1.0,0.003,0.002,9832.0,9832.0,1.0
gamma_prev[6],0.885,0.319,0.0,1.0,0.003,0.002,10012.0,10012.0,1.0
sigma2,0.019,0.001,0.017,0.021,0.0,0.0,80.0,2824.0,1.08
beta_ori,0.103,0.36,-0.58,0.803,0.027,0.027,187.0,660.0,1.05
eta,0.874,0.431,0.369,1.632,0.079,0.057,19.0,368.0,1.14
pi,0.641,0.253,0.232,1.0,0.044,0.033,41.0,1855.0,1.06
p[0],0.033,0.017,0.0,0.057,0.001,0.001,468.0,517.0,1.14
p[1],0.03,0.018,0.002,0.061,0.003,0.002,27.0,396.0,1.1
p[2],0.032,0.017,0.0,0.06,0.001,0.001,186.0,386.0,1.03
p[3],0.038,0.021,0.002,0.064,0.004,0.003,24.0,258.0,1.11
p[4],0.036,0.019,0.006,0.063,0.002,0.002,40.0,228.0,1.07
p[5],0.032,0.016,0.0,0.054,0.001,0.001,170.0,420.0,1.04
p[6],0.032,0.016,0.0,0.056,0.001,0.001,472.0,535.0,1.06
p[7],0.03,0.017,0.0,0.055,0.002,0.001,63.0,543.0,1.04
p[8],0.033,0.016,0.0,0.056,0.0,0.0,589.0,672.0,1.13
p[9],0.037,0.024,0.009,0.079,0.003,0.002,107.0,131.0,1.04
p[10],0.037,0.017,0.005,0.062,0.003,0.002,35.0,490.0,1.08
p[11],0.03,0.017,0.004,0.06,0.003,0.002,28.0,512.0,1.09
p[12],0.034,0.018,0.0,0.058,0.001,0.001,255.0,174.0,1.04
p[13],0.034,0.017,0.004,0.064,0.001,0.001,483.0,563.0,1.07
p[14],0.034,0.016,0.003,0.06,0.0,0.0,479.0,784.0,1.07
p[15],0.034,0.016,0.0,0.055,0.001,0.001,69.0,508.0,1.04
p[16],0.034,0.019,0.0,0.063,0.001,0.001,176.0,185.0,1.02
p[17],0.036,0.017,0.004,0.061,0.001,0.001,103.0,756.0,1.07
p[18],0.033,0.017,0.002,0.059,0.001,0.001,201.0,240.0,1.18
p[19],0.033,0.017,0.004,0.06,0.001,0.001,353.0,573.0,1.1
p[20],0.031,0.016,0.005,0.059,0.002,0.001,85.0,607.0,1.04
p[21],0.033,0.015,0.0,0.054,0.001,0.001,97.0,247.0,1.03
p[22],0.033,0.015,0.002,0.058,0.001,0.0,686.0,686.0,1.13
p[23],0.031,0.015,0.0,0.054,0.001,0.001,178.0,529.0,1.06
p[24],0.032,0.016,0.0,0.056,0.001,0.001,282.0,501.0,1.07
p[25],0.035,0.017,0.0,0.057,0.002,0.001,46.0,586.0,1.05
p[26],0.033,0.017,0.003,0.06,0.001,0.001,451.0,571.0,1.1
p[27],0.034,0.018,0.0,0.056,0.001,0.001,270.0,434.0,1.08
p[28],0.033,0.015,0.003,0.058,0.0,0.0,622.0,568.0,1.07
p[29],0.036,0.019,0.0,0.066,0.001,0.001,127.0,262.0,1.03
