,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],1.253,0.27,0.997,1.986,0.117,0.088,10.0,11.0,1.31
beta[1],0.249,0.311,-0.428,0.419,0.088,0.064,18.0,15.0,1.25
beta[2],0.236,0.92,-1.606,1.977,0.058,0.041,222.0,2889.0,1.05
beta[3],-0.418,0.034,-0.48,-0.354,0.001,0.001,590.0,2434.0,1.0
beta[4],0.403,0.062,0.292,0.515,0.003,0.002,400.0,2995.0,1.01
beta[5],1.051,0.201,0.484,1.238,0.088,0.066,10.0,11.0,1.31
beta[6],-0.33,0.384,-0.565,0.048,0.101,0.073,16.0,11.0,1.27
beta[7],-0.693,0.124,-0.829,-0.344,0.053,0.04,10.0,11.0,1.31
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],0.95,0.217,1.0,1.0,0.042,0.03,27.0,12000.0,1.1
gamma[2],0.182,0.386,0.0,1.0,0.163,0.122,6.0,6.0,1.89
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],0.926,0.262,0.0,1.0,0.099,0.073,7.0,7.0,1.57
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.874,0.332,0.0,1.0,0.003,0.002,10146.0,10146.0,1.0
gamma_prev[1],0.834,0.372,0.0,1.0,0.032,0.023,134.0,134.0,1.02
gamma_prev[2],0.21,0.408,0.0,1.0,0.132,0.096,10.0,10.0,1.32
gamma_prev[3],0.878,0.327,0.0,1.0,0.003,0.002,9821.0,9821.0,1.0
gamma_prev[4],0.877,0.329,0.0,1.0,0.003,0.002,10701.0,10701.0,1.0
gamma_prev[5],0.88,0.326,0.0,1.0,0.003,0.002,9871.0,9871.0,1.0
gamma_prev[6],0.822,0.383,0.0,1.0,0.081,0.058,22.0,22.0,1.11
gamma_prev[7],0.88,0.325,0.0,1.0,0.003,0.002,9723.0,9723.0,1.0
sigma2,0.019,0.001,0.017,0.021,0.0,0.0,817.0,4703.0,1.01
beta_ori,0.212,0.414,-0.487,0.992,0.036,0.025,137.0,190.0,1.04
eta,0.999,0.455,0.373,1.797,0.012,0.009,1222.0,3006.0,1.01
pi,0.672,0.25,0.213,1.0,0.008,0.006,1374.0,2840.0,1.01
p[0],0.036,0.028,0.0,0.068,0.003,0.002,87.0,187.0,1.04
p[1],0.033,0.02,0.0,0.063,0.002,0.001,127.0,735.0,1.03
p[2],0.032,0.019,0.0,0.059,0.001,0.0,522.0,343.0,1.02
p[3],0.034,0.023,0.0,0.063,0.002,0.001,120.0,327.0,1.03
p[4],0.035,0.022,0.0,0.064,0.001,0.001,345.0,654.0,1.01
p[5],0.033,0.019,0.0,0.06,0.001,0.001,381.0,224.0,1.01
p[6],0.033,0.02,0.0,0.065,0.001,0.001,335.0,171.0,1.02
p[7],0.033,0.023,0.0,0.064,0.003,0.002,105.0,248.0,1.03
p[8],0.033,0.019,0.0,0.061,0.001,0.001,415.0,522.0,1.01
p[9],0.033,0.019,0.0,0.062,0.001,0.0,557.0,378.0,1.01
p[10],0.031,0.019,0.0,0.059,0.001,0.0,786.0,507.0,1.01
p[11],0.033,0.022,0.0,0.063,0.002,0.001,122.0,239.0,1.03
p[12],0.033,0.019,0.0,0.061,0.001,0.0,540.0,316.0,1.01
p[13],0.034,0.02,0.0,0.065,0.001,0.001,318.0,311.0,1.02
p[14],0.034,0.02,0.0,0.065,0.001,0.001,478.0,322.0,1.01
p[15],0.032,0.023,0.0,0.061,0.001,0.001,258.0,111.0,1.02
p[16],0.032,0.019,0.0,0.06,0.001,0.001,378.0,324.0,1.01
p[17],0.033,0.019,0.0,0.061,0.001,0.001,176.0,85.0,1.02
p[18],0.031,0.019,0.0,0.059,0.001,0.001,415.0,248.0,1.01
p[19],0.032,0.018,0.0,0.06,0.001,0.001,406.0,202.0,1.01
p[20],0.031,0.018,0.0,0.058,0.001,0.0,505.0,276.0,1.0
p[21],0.032,0.019,0.0,0.06,0.001,0.0,502.0,209.0,1.01
p[22],0.037,0.028,0.0,0.08,0.003,0.002,262.0,85.0,1.02
p[23],0.032,0.019,0.0,0.058,0.001,0.001,282.0,224.0,1.01
p[24],0.035,0.022,0.0,0.068,0.001,0.001,259.0,112.0,1.01
p[25],0.034,0.022,0.0,0.064,0.001,0.001,501.0,734.0,1.01
p[26],0.036,0.029,0.0,0.069,0.003,0.002,91.0,78.0,1.03
p[27],0.035,0.022,0.0,0.067,0.002,0.001,229.0,105.0,1.01
p[28],0.034,0.02,0.0,0.062,0.001,0.001,270.0,278.0,1.02
p[29],0.034,0.027,0.0,0.064,0.002,0.002,335.0,184.0,1.01
