,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.764,0.028,0.718,0.812,0.007,0.005,14.0,26.0,1.34
beta[1],0.347,0.065,0.291,0.413,0.008,0.006,25.0,20.0,1.11
beta[2],0.443,0.02,0.408,0.482,0.005,0.004,14.0,158.0,1.2
beta[3],-0.678,0.015,-0.704,-0.649,0.003,0.003,21.0,150.0,1.13
beta[4],2.258,0.054,2.18,2.365,0.017,0.012,10.0,62.0,1.31
beta[5],0.114,1.09,-1.86,2.549,0.067,0.048,328.0,423.0,1.06
beta[6],0.6,0.059,0.48,0.687,0.019,0.014,10.0,16.0,1.32
beta[7],0.402,0.166,0.257,0.494,0.013,0.009,29.0,18.0,1.15
beta[8],0.193,0.034,0.123,0.254,0.007,0.005,25.0,56.0,1.23
beta[9],-3.035,0.072,-3.15,-2.922,0.029,0.021,7.0,17.0,1.75
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma[1],0.998,0.044,1.0,1.0,0.003,0.002,265.0,20000.0,1.01
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma[5],0.252,0.434,0.0,1.0,0.107,0.077,17.0,17.0,1.18
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma[7],0.986,0.118,1.0,1.0,0.019,0.014,38.0,20000.0,1.06
gamma[8],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma[9],1.0,0.0,1.0,1.0,0.0,0.0,20000.0,20000.0,
gamma_prev[0],0.87,0.336,0.0,1.0,0.003,0.002,16499.0,16499.0,1.0
gamma_prev[1],0.867,0.339,0.0,1.0,0.003,0.002,14118.0,14118.0,1.0
gamma_prev[2],0.867,0.34,0.0,1.0,0.003,0.002,16426.0,16426.0,1.0
