,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.149,1.055,-1.921,2.037,0.132,0.093,69.0,802.0,1.04
beta[1],0.064,1.149,-2.134,2.073,0.032,0.022,1233.0,4489.0,1.01
beta[2],0.84,0.214,0.503,1.137,0.045,0.032,22.0,24.0,1.13
beta[3],-0.246,0.785,-1.674,1.521,0.092,0.09,124.0,69.0,1.29
beta[4],0.104,0.934,-1.899,1.845,0.017,0.09,1657.0,328.0,1.36
beta[5],1.184,0.214,0.82,1.495,0.058,0.042,18.0,68.0,1.22
beta[6],-0.624,0.074,-0.758,-0.479,0.006,0.004,142.0,1922.0,1.02
beta[7],-1.494,0.08,-1.64,-1.345,0.008,0.006,99.0,151.0,1.03
beta[8],0.782,0.177,0.413,1.083,0.026,0.019,51.0,162.0,1.06
gamma[0],0.259,0.438,0.0,1.0,0.158,0.117,8.0,8.0,1.48
gamma[1],0.005,0.073,0.0,0.0,0.008,0.005,96.0,96.0,1.02
gamma[2],0.986,0.119,1.0,1.0,0.019,0.014,37.0,12000.0,1.06
gamma[3],0.613,0.487,0.0,1.0,0.196,0.145,6.0,6.0,1.71
gamma[4],0.372,0.483,0.0,1.0,0.195,0.145,6.0,6.0,1.73
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[8],0.999,0.026,1.0,1.0,0.001,0.0,1502.0,12000.0,1.0
gamma_prev[0],0.269,0.443,0.0,1.0,0.151,0.111,9.0,9.0,1.39
gamma_prev[1],0.031,0.174,0.0,0.0,0.006,0.004,932.0,932.0,1.01
gamma_prev[2],0.961,0.193,1.0,1.0,0.017,0.012,136.0,12000.0,1.02
gamma_prev[3],0.609,0.488,0.0,1.0,0.186,0.137,7.0,7.0,1.57
gamma_prev[4],0.377,0.485,0.0,1.0,0.186,0.138,7.0,7.0,1.59
gamma_prev[5],0.976,0.154,1.0,1.0,0.002,0.001,8907.0,12000.0,1.0
gamma_prev[6],0.975,0.156,1.0,1.0,0.002,0.001,8204.0,12000.0,1.0
gamma_prev[7],0.977,0.149,1.0,1.0,0.002,0.001,8900.0,12000.0,1.0
gamma_prev[8],0.975,0.156,1.0,1.0,0.002,0.001,7740.0,12000.0,1.0
sigma2,0.053,0.005,0.043,0.063,0.001,0.0,59.0,92.0,1.04
beta_ori,0.079,0.455,-0.732,0.942,0.057,0.04,63.0,1158.0,1.05
eta,1.207,0.564,0.461,2.221,0.024,0.017,308.0,268.0,1.02
pi,0.517,0.285,0.074,0.995,0.024,0.017,204.0,284.0,1.02
p[0],0.024,0.012,0.0,0.042,0.0,0.0,988.0,454.0,1.01
p[1],0.025,0.012,0.0,0.042,0.0,0.0,948.0,398.0,1.02
p[2],0.025,0.019,0.0,0.043,0.001,0.001,225.0,278.0,1.01
p[3],0.025,0.015,0.0,0.044,0.001,0.0,634.0,442.0,1.02
p[4],0.025,0.013,0.0,0.043,0.001,0.0,256.0,271.0,1.02
p[5],0.027,0.015,0.0,0.044,0.002,0.001,86.0,322.0,1.04
p[6],0.026,0.014,0.003,0.047,0.001,0.001,130.0,389.0,1.09
p[7],0.028,0.016,0.004,0.05,0.001,0.001,121.0,297.0,1.02
p[8],0.024,0.013,0.0,0.043,0.001,0.001,130.0,312.0,1.02
p[9],0.025,0.013,0.0,0.043,0.0,0.0,530.0,268.0,1.01
p[10],0.025,0.013,0.0,0.043,0.001,0.001,81.0,290.0,1.04
p[11],0.025,0.012,0.0,0.044,0.0,0.0,955.0,338.0,1.01
p[12],0.024,0.012,0.0,0.042,0.001,0.001,182.0,398.0,1.02
p[13],0.024,0.012,0.0,0.042,0.0,0.0,869.0,263.0,1.01
p[14],0.026,0.013,0.0,0.045,0.0,0.0,737.0,345.0,1.02
p[15],0.025,0.013,0.0,0.043,0.0,0.0,194.0,359.0,1.02
p[16],0.024,0.013,0.0,0.043,0.001,0.001,125.0,276.0,1.02
p[17],0.027,0.016,0.005,0.051,0.001,0.001,141.0,246.0,1.02
p[18],0.025,0.013,0.0,0.043,0.0,0.0,344.0,495.0,1.01
p[19],0.026,0.013,0.004,0.048,0.001,0.001,135.0,360.0,1.07
p[20],0.024,0.012,0.0,0.042,0.0,0.0,241.0,241.0,1.02
p[21],0.025,0.014,0.003,0.046,0.001,0.001,79.0,425.0,1.03
p[22],0.024,0.012,0.0,0.043,0.0,0.0,369.0,213.0,1.01
p[23],0.025,0.013,0.0,0.043,0.001,0.0,286.0,315.0,1.01
p[24],0.025,0.013,0.0,0.043,0.001,0.0,310.0,382.0,1.01
p[25],0.025,0.013,0.0,0.044,0.0,0.0,256.0,292.0,1.01
p[26],0.026,0.015,0.002,0.046,0.001,0.001,765.0,451.0,1.01
p[27],0.025,0.014,0.0,0.044,0.001,0.0,455.0,330.0,1.01
p[28],0.025,0.012,0.0,0.043,0.0,0.0,505.0,207.0,1.0
p[29],0.024,0.013,0.0,0.043,0.001,0.0,126.0,209.0,1.03
p[30],0.026,0.013,0.0,0.043,0.001,0.0,278.0,312.0,1.05
p[31],0.024,0.012,0.0,0.042,0.0,0.0,1039.0,399.0,1.02
p[32],0.024,0.013,0.0,0.043,0.001,0.001,71.0,273.0,1.04
p[33],0.026,0.013,0.0,0.044,0.001,0.001,163.0,381.0,1.07
p[34],0.025,0.015,0.001,0.044,0.002,0.001,75.0,329.0,1.04
p[35],0.024,0.012,0.0,0.043,0.0,0.0,611.0,360.0,1.01
p[36],0.023,0.013,0.0,0.043,0.001,0.001,52.0,247.0,1.05
p[37],0.026,0.013,0.0,0.044,0.001,0.001,247.0,522.0,1.03
p[38],0.025,0.013,0.0,0.043,0.0,0.0,403.0,316.0,1.04
p[39],0.024,0.013,0.0,0.042,0.001,0.0,120.0,261.0,1.03
