,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-1.973,0.267,-2.454,-1.471,0.042,0.03,43.0,356.0,1.1
beta[1],0.867,0.183,0.51,1.195,0.04,0.03,19.0,173.0,1.14
beta[2],0.881,0.121,0.64,1.104,0.021,0.015,32.0,207.0,1.08
beta[3],1.081,0.051,0.981,1.174,0.007,0.005,51.0,348.0,1.05
beta[4],-0.64,0.095,-0.82,-0.448,0.007,0.005,201.0,337.0,1.02
beta[5],-1.502,0.095,-1.672,-1.321,0.006,0.004,246.0,692.0,1.01
beta[6],0.81,0.313,0.428,1.186,0.038,0.027,39.0,148.0,1.07
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],0.985,0.12,1.0,1.0,0.012,0.008,103.0,12000.0,1.04
gamma_prev[0],0.879,0.326,0.0,1.0,0.003,0.002,10507.0,10507.0,1.0
gamma_prev[1],0.875,0.33,0.0,1.0,0.003,0.002,10119.0,10119.0,1.0
gamma_prev[2],0.871,0.335,0.0,1.0,0.003,0.002,10361.0,10361.0,1.0
gamma_prev[3],0.873,0.333,0.0,1.0,0.003,0.002,9858.0,9858.0,1.0
gamma_prev[4],0.877,0.329,0.0,1.0,0.003,0.002,9146.0,9146.0,1.0
gamma_prev[5],0.879,0.326,0.0,1.0,0.003,0.002,9146.0,9146.0,1.0
gamma_prev[6],0.864,0.343,0.0,1.0,0.01,0.007,1240.0,1240.0,1.01
sigma2,0.088,0.008,0.071,0.102,0.001,0.001,34.0,71.0,1.16
beta_ori,-0.155,0.484,-0.851,0.851,0.097,0.069,28.0,32.0,1.17
eta,1.537,0.598,0.568,2.505,0.089,0.063,26.0,529.0,1.14
pi,0.683,0.218,0.304,1.0,0.045,0.034,27.0,300.0,1.15
p[0],0.028,0.013,0.005,0.049,0.003,0.002,19.0,72.0,1.29
p[1],0.023,0.012,0.007,0.044,0.004,0.003,12.0,651.0,1.25
p[2],0.026,0.011,0.003,0.043,0.001,0.001,38.0,418.0,1.09
p[3],0.025,0.014,0.005,0.044,0.001,0.001,155.0,119.0,1.13
p[4],0.024,0.011,0.004,0.043,0.002,0.001,27.0,171.0,1.1
p[5],0.025,0.012,0.004,0.043,0.001,0.001,61.0,221.0,1.07
p[6],0.024,0.011,0.005,0.044,0.002,0.001,32.0,186.0,1.08
p[7],0.026,0.014,0.007,0.047,0.002,0.002,23.0,112.0,1.11
p[8],0.026,0.012,0.008,0.048,0.002,0.001,30.0,212.0,1.11
p[9],0.025,0.011,0.005,0.043,0.001,0.001,50.0,418.0,1.13
p[10],0.024,0.011,0.005,0.044,0.002,0.001,37.0,64.0,1.18
p[11],0.024,0.011,0.003,0.041,0.001,0.001,81.0,246.0,1.07
p[12],0.027,0.013,0.007,0.048,0.003,0.002,16.0,226.0,1.17
p[13],0.024,0.012,0.004,0.043,0.003,0.002,15.0,457.0,1.17
p[14],0.023,0.011,0.005,0.041,0.002,0.001,29.0,308.0,1.16
p[15],0.022,0.011,0.005,0.044,0.001,0.001,38.0,261.0,1.1
p[16],0.026,0.013,0.001,0.047,0.002,0.001,46.0,63.0,1.15
p[17],0.026,0.012,0.005,0.044,0.002,0.002,18.0,137.0,1.15
p[18],0.027,0.011,0.0,0.043,0.002,0.001,21.0,69.0,1.12
p[19],0.024,0.013,0.006,0.044,0.003,0.002,13.0,260.0,1.21
p[20],0.022,0.012,0.005,0.043,0.003,0.002,15.0,286.0,1.18
p[21],0.025,0.011,0.003,0.042,0.001,0.001,40.0,355.0,1.11
p[22],0.022,0.012,0.005,0.044,0.003,0.002,24.0,62.0,1.11
p[23],0.024,0.01,0.003,0.04,0.002,0.001,32.0,296.0,1.08
p[24],0.026,0.012,0.008,0.047,0.001,0.001,121.0,457.0,1.24
p[25],0.026,0.012,0.007,0.046,0.003,0.002,17.0,168.0,1.21
p[26],0.024,0.011,0.005,0.041,0.002,0.002,22.0,490.0,1.13
p[27],0.023,0.012,0.005,0.042,0.003,0.002,17.0,396.0,1.15
p[28],0.029,0.012,0.006,0.047,0.003,0.002,20.0,318.0,1.17
p[29],0.025,0.011,0.003,0.042,0.002,0.001,40.0,310.0,1.1
p[30],0.025,0.011,0.004,0.043,0.002,0.001,28.0,377.0,1.09
p[31],0.026,0.012,0.006,0.045,0.002,0.002,23.0,205.0,1.13
p[32],0.024,0.012,0.005,0.043,0.002,0.001,35.0,146.0,1.13
p[33],0.028,0.013,0.007,0.047,0.003,0.002,15.0,181.0,1.19
p[34],0.029,0.014,0.007,0.051,0.004,0.003,16.0,218.0,1.19
p[35],0.025,0.012,0.001,0.045,0.002,0.001,56.0,59.0,1.23
p[36],0.025,0.011,0.005,0.044,0.001,0.001,52.0,159.0,1.08
p[37],0.024,0.011,0.006,0.042,0.001,0.0,92.0,232.0,1.12
p[38],0.025,0.012,0.007,0.047,0.003,0.002,20.0,331.0,1.19
p[39],0.025,0.012,0.006,0.046,0.001,0.001,115.0,681.0,1.04
